"method","setting","kind","rep","missing","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"beta15",0,0.04736103643,0.154158993625097,-0.2526378,0.3491295,0.04736103643,0.04736103643,TRUE
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"beta16",0,-0.025283328378,0.151320443586785,-0.307912975,0.272603825,-0.025283328378,0.025283328378,TRUE
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"beta17",0,-0.06704251022752,0.177737119318584,-0.401963725,0.297577975,-0.06704251022752,0.06704251022752,TRUE
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"beta18",0,0.008404268272,0.170197499904055,-0.3228983,0.349251025,0.008404268272,0.008404268272,TRUE
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"beta19",0,0.0687449909115,0.161820085134899,-0.2634601,0.3746064,0.0687449909115,0.0687449909115,TRUE
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"beta20",0,-0.057235771429,0.15611773466482,-0.3698915,0.25177695,-0.057235771429,0.057235771429,TRUE
"Missing first-pass (ADVI)","30 Missing Spots","ignorable",1,30,"eta",1.6,1.454295842,0.339020326266321,0.879605075,2.20557725,-0.145704158,0.145704158,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta1",1,0.974005957,0.172806254668075,0.65574,1.33759875,-0.025994043,0.025994043,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta2",2,2.08949755,0.245827816225764,1.60090825,2.58278275,0.0894975499999999,0.0894975499999999,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta3",3,3.00321859,0.284814148164916,2.44402525,3.588838,0.00321858999999991,0.00321858999999991,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta4",-4,-4.12606596,0.366555870236016,-4.85473925,-3.391438,-0.12606596,0.12606596,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta5",-5,-4.92618108,0.438102960658076,-5.77097375,-4.059119,0.0738189199999999,0.0738189199999999,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta6",0,-0.310224683143,0.155923202205204,-0.6285215,-0.0167020575,-0.310224683143,0.310224683143,FALSE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta7",0,0.019280533803,0.175624505072431,-0.328423325,0.37081345,0.019280533803,0.019280533803,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta8",0,-0.0634392070233,0.142718673237916,-0.340019225,0.23388045,-0.0634392070233,0.0634392070233,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta9",0,-0.171180532459,0.170166027763787,-0.507344725,0.163333175,-0.171180532459,0.171180532459,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta10",0,-0.05331428904222,0.129004709521726,-0.2947284,0.210197525,-0.05331428904222,0.05331428904222,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta11",0,0.34338153594,0.165790145443703,0.024332905,0.676559675,0.34338153594,0.34338153594,FALSE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta12",0,0.107824095147,0.179121499648992,-0.25516005,0.4746161,0.107824095147,0.107824095147,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta13",0,-0.125126415873,0.144750177752727,-0.397457125,0.159200425,-0.125126415873,0.125126415873,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta14",0,0.0321129803816,0.155488331327824,-0.280186975,0.341268075,0.0321129803816,0.0321129803816,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta15",0,0.205074515108,0.162861972341031,-0.103447925,0.53199815,0.205074515108,0.205074515108,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta16",0,0.23050244595,0.149431612392825,-0.0545599375,0.533519475,0.23050244595,0.23050244595,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta17",0,0.0253178299682,0.168711981371981,-0.28537925,0.373953875,0.0253178299682,0.0253178299682,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta18",0,-0.1164329345808,0.163232640368969,-0.43821325,0.1965325,-0.1164329345808,0.1164329345808,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta19",0,0.26089653846,0.151005526326586,-0.02905762,0.550863025,0.26089653846,0.26089653846,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"beta20",0,0.120384674572,0.157109636105065,-0.174790525,0.423511525,0.120384674572,0.120384674572,TRUE
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable",1,5,"eta",1.6,1.475414722,0.321655399978707,0.931286675,2.17105825,-0.124585278,0.124585278,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta1",1,1.020617496,0.170059845144168,0.707409325,1.378428,0.0206174960000001,0.0206174960000001,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta2",2,2.17663628,0.238770357745889,1.6996875,2.65808925,0.17663628,0.17663628,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta3",3,3.07553752,0.308238521984006,2.474085,3.71196625,0.0755375200000001,0.0755375200000001,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta4",-4,-4.21087972,0.389051070937119,-4.9886155,-3.4306105,-0.21087972,0.21087972,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta5",-5,-5.18215295,0.451121800251395,-6.03102825,-4.2973145,-0.18215295,0.18215295,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta6",0,0.2650967269437,0.156897585526629,-0.051740205,0.5634185,0.2650967269437,0.2650967269437,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta7",0,0.283619481559,0.166762886061893,-0.03608594,0.59664745,0.283619481559,0.283619481559,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta8",0,-0.080327230363,0.159161887307792,-0.391169725,0.245087525,-0.080327230363,0.080327230363,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta9",0,-0.128441260304,0.156474282473501,-0.44346295,0.1847447,-0.128441260304,0.128441260304,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta10",0,0.21459469893,0.134320148533042,-0.05358973,0.49883725,0.21459469893,0.21459469893,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta11",0,-0.0773782406944,0.170083601084062,-0.408078525,0.252804,-0.0773782406944,0.0773782406944,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta12",0,0.035697282154,0.170038020045458,-0.305123625,0.37665425,0.035697282154,0.035697282154,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta13",0,0.244721320833,0.153858593725099,-0.0560870825,0.556937025,0.244721320833,0.244721320833,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta14",0,0.094435992945055,0.159461254947562,-0.2073837,0.399722075,0.094435992945055,0.094435992945055,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta15",0,0.133878757258,0.144894593663593,-0.146529175,0.4200668,0.133878757258,0.133878757258,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta16",0,0.089294313862,0.156423316097156,-0.1994559,0.4027932,0.089294313862,0.089294313862,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta17",0,-0.165645182251,0.176584678296673,-0.49477435,0.209313575,-0.165645182251,0.165645182251,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta18",0,0.0664130106723,0.162026548815303,-0.2617217,0.385940425,0.0664130106723,0.0664130106723,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta19",0,0.0082152086131,0.141490349779618,-0.2777827,0.284562,0.0082152086131,0.0082152086131,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"beta20",0,-0.032921062533,0.155058748522926,-0.344713925,0.266026675,-0.032921062533,0.032921062533,TRUE
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable",1,12,"eta",1.6,1.507182385,0.319255337474647,0.974082875,2.1810735,-0.0928176150000002,0.0928176150000002,TRUE
