"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd","eta_setting","rep"
"beta2",2,2.31743639,0.250225161250404,1.81618575,2.82347675,0.31743639,0.31743639,TRUE,"Proposed (ADVI)",1,0.4,2
"beta3",3,3.66522087,0.346616688543873,2.96288075,4.3418705,0.66522087,0.66522087,TRUE,"Proposed (ADVI)",1,0.4,2
"beta4",-4,-4.82479954,0.428441849110072,-5.672687,-3.96673525,-0.82479954,0.82479954,TRUE,"Proposed (ADVI)",1,0.4,2
"beta5",-5,-5.73406495,0.519087424742232,-6.73254975,-4.70472625,-0.73406495,0.73406495,TRUE,"Proposed (ADVI)",1,0.4,2
"beta6",0,0.32602226782,0.17822268837977,-0.0411569075,0.658726,0.32602226782,0.32602226782,TRUE,"Proposed (ADVI)",1,0.4,2
"beta7",0,0.237208492478,0.189609438609949,-0.132830025,0.596645075,0.237208492478,0.237208492478,TRUE,"Proposed (ADVI)",1,0.4,2
"beta8",0,0.149967677188,0.165636805518958,-0.15331635,0.475876,0.149967677188,0.149967677188,TRUE,"Proposed (ADVI)",1,0.4,2
"beta9",0,0.123681564248,0.193355104062325,-0.275728975,0.483151,0.123681564248,0.123681564248,TRUE,"Proposed (ADVI)",1,0.4,2
"beta10",0,0.296860198263,0.167286344309388,-0.0287975425,0.639075275,0.296860198263,0.296860198263,TRUE,"Proposed (ADVI)",1,0.4,2
"beta11",0,-0.010326040266,0.170414961780854,-0.33413385,0.3140154,-0.010326040266,0.010326040266,TRUE,"Proposed (ADVI)",1,0.4,2
"beta12",0,0.187707186296,0.184809392208543,-0.1902828,0.55929315,0.187707186296,0.187707186296,TRUE,"Proposed (ADVI)",1,0.4,2
"beta13",0,0.05297294329,0.193639136710457,-0.3184123,0.438062925,0.05297294329,0.05297294329,TRUE,"Proposed (ADVI)",1,0.4,2
"beta14",0,-0.03194335109,0.183843801921337,-0.3950259,0.310186175,-0.03194335109,0.03194335109,TRUE,"Proposed (ADVI)",1,0.4,2
"beta15",0,0.097817016889,0.182336944104939,-0.2588627,0.4686054,0.097817016889,0.097817016889,TRUE,"Proposed (ADVI)",1,0.4,2
"beta16",0,0.0054943696094,0.173414037457945,-0.331118825,0.34086575,0.0054943696094,0.0054943696094,TRUE,"Proposed (ADVI)",1,0.4,2
"beta17",0,-0.4428266738449,0.18914287575282,-0.805781425,-0.0595332825000001,-0.4428266738449,0.4428266738449,FALSE,"Proposed (ADVI)",1,0.4,2
"beta18",0,-0.0698159623633,0.188412975362268,-0.45525585,0.27130715,-0.0698159623633,0.0698159623633,TRUE,"Proposed (ADVI)",1,0.4,2
"beta19",0,-0.074854337579,0.151947294863776,-0.38026275,0.215257725,-0.074854337579,0.074854337579,TRUE,"Proposed (ADVI)",1,0.4,2
"beta20",0,0.09348134408012,0.174300153824158,-0.244592775,0.427235,0.09348134408012,0.09348134408012,TRUE,"Proposed (ADVI)",1,0.4,2
"eta",0.4,0.801066437,0.342086156460337,0.3131117,1.6430925,0.401066437,0.401066437,TRUE,"Proposed (ADVI)",1,0.4,2
"beta1",1,0.77486428791,0.417546520418194,-0.04851636,1.5808255,-0.22513571209,0.22513571209,TRUE,"Naive (ADVI)",1,0.4,2
"beta2",2,-0.2393333715761,0.730568585639698,-1.64059425,1.17730075,-2.2393333715761,2.2393333715761,FALSE,"Naive (ADVI)",1,0.4,2
"beta3",3,0.767554635998,0.664969678389433,-0.583105975,2.048972,-2.232445364002,2.232445364002,FALSE,"Naive (ADVI)",1,0.4,2
"beta4",-4,-1.87704415974,0.624006791636297,-3.095744,-0.698529775,2.12295584026,2.12295584026,FALSE,"Naive (ADVI)",1,0.4,2
"beta5",-5,-2.0958002765,0.737325902887878,-3.58331825,-0.5880698,2.9041997235,2.9041997235,FALSE,"Naive (ADVI)",1,0.4,2
"beta6",0,-1.03939998887,0.625100777024855,-2.29672675,0.18267835,-1.03939998887,1.03939998887,TRUE,"Naive (ADVI)",1,0.4,2
"beta7",0,0.0064051471135,0.398150765595658,-0.746143325,0.77825195,0.0064051471135,0.0064051471135,TRUE,"Naive (ADVI)",1,0.4,2
"beta8",0,0.117222690813,0.405467097450468,-0.693537925,0.907586025,0.117222690813,0.117222690813,TRUE,"Naive (ADVI)",1,0.4,2
