"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd"
"beta8",0,0.0444174306826,0.224548178944728,-0.372696725,0.488265625,0.0444174306826,0.0444174306826,TRUE,"Proposed",0.5
"beta9",0,0.53221715607,0.221816150480713,0.0896875,0.9691982,0.53221715607,0.53221715607,FALSE,"Proposed",0.5
"beta10",0,-0.0271098909501,0.20893234325405,-0.431649625,0.36733175,-0.0271098909501,0.0271098909501,TRUE,"Proposed",0.5
"beta11",0,0.36050030217,0.229734490207622,-0.0946012125,0.82062475,0.36050030217,0.36050030217,TRUE,"Proposed",0.5
"beta12",0,0.00487373173730001,0.206655201978761,-0.3948651,0.394300575,0.00487373173730001,0.00487373173730001,TRUE,"Proposed",0.5
"beta13",0,0.086087252327,0.27087448700842,-0.4542861,0.591105,0.086087252327,0.086087252327,TRUE,"Proposed",0.5
"beta14",0,0.0457962035543,0.213016625939604,-0.3650565,0.455158325,0.0457962035543,0.0457962035543,TRUE,"Proposed",0.5
"beta15",0,-0.36875923064,0.21832049322515,-0.7895482,0.0616358474999999,-0.36875923064,0.36875923064,TRUE,"Proposed",0.5
"beta16",0,-0.13291234846,0.213373844776307,-0.563035,0.262169525,-0.13291234846,0.13291234846,TRUE,"Proposed",0.5
"beta17",0,-0.43448964251,0.230552657157939,-0.872278025,0.00956429624999998,-0.43448964251,0.43448964251,TRUE,"Proposed",0.5
"beta18",0,0.246326436398,0.210522992172928,-0.17072915,0.6639761,0.246326436398,0.246326436398,TRUE,"Proposed",0.5
"beta19",0,0.079189348789,0.210239155056373,-0.32365335,0.486497925,0.079189348789,0.079189348789,TRUE,"Proposed",0.5
"beta20",0,0.054773013327,0.248505781490362,-0.43176775,0.536169475,0.054773013327,0.054773013327,TRUE,"Proposed",0.5
"eta",0.4,0.2551671299,0.204170010813189,0.0481151325,0.80969285,-0.1448328701,0.1448328701,TRUE,"Proposed",0.5
"beta1",1,1.220732037,0.23013484479804,0.73868635,1.675483,0.220732037,0.220732037,TRUE,"Naive",0.5
"beta2",2,2.17101541,0.230721254343066,1.707444,2.633395,0.17101541,0.17101541,TRUE,"Naive",0.5
"beta3",3,2.94034234,0.225658355094484,2.504001,3.3644835,-0.0596576600000001,0.0596576600000001,TRUE,"Naive",0.5
"beta4",-4,-3.68320042,0.259909736497404,-4.2011395,-3.18436425,0.31679958,0.31679958,TRUE,"Naive",0.5
"beta5",-5,-4.84033882,0.291093237187922,-5.3876035,-4.25906525,0.15966118,0.15966118,TRUE,"Naive",0.5
"beta6",0,-0.213294272189,0.211235168371808,-0.635212825,0.20267145,-0.213294272189,0.213294272189,TRUE,"Naive",0.5
"beta7",0,-0.31077767867,0.242816263504743,-0.7930742,0.151886875,-0.31077767867,0.31077767867,TRUE,"Naive",0.5
"beta8",0,0.0479415690087,0.202673615569713,-0.348401,0.451188625,0.0479415690087,0.0479415690087,TRUE,"Naive",0.5
"beta9",0,0.45189498037,0.204675654290315,0.0541909325,0.842190925,0.45189498037,0.45189498037,FALSE,"Naive",0.5
"beta10",0,-0.103225492031,0.210842373779201,-0.50814425,0.313317425,-0.103225492031,0.103225492031,TRUE,"Naive",0.5
"beta11",0,0.437309664316,0.225238398859849,0.031005385,0.884183075,0.437309664316,0.437309664316,FALSE,"Naive",0.5
"beta12",0,0.009536045675,0.218366676551065,-0.428562425,0.43821245,0.009536045675,0.009536045675,TRUE,"Naive",0.5
"beta13",0,0.077697507897,0.226492755616206,-0.379688725,0.502372625,0.077697507897,0.077697507897,TRUE,"Naive",0.5
"beta14",0,0.098233029723,0.229532703518284,-0.348579875,0.547696425,0.098233029723,0.098233029723,TRUE,"Naive",0.5
