"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)",0.4,5,"eta",0.4,0.5719437675,0.318130731905855,0.1749757,1.40403675,0.1719437675,0.1719437675,TRUE
"Naive Method (ADVI)",0.4,6,"beta1",1,0.85478589,0.194158755037571,0.47124975,1.2301045,-0.14521411,0.14521411,TRUE
"Naive Method (ADVI)",0.4,6,"beta2",2,2.30804727,0.275692809042973,1.76814875,2.854836,0.30804727,0.30804727,TRUE
"Naive Method (ADVI)",0.4,6,"beta3",3,3.31543737,0.311772480658379,2.6863935,3.8987095,0.31543737,0.31543737,TRUE
"Naive Method (ADVI)",0.4,6,"beta4",-4,-4.71652213,0.416328025169703,-5.52824225,-3.93881725,-0.71652213,0.71652213,TRUE
"Naive Method (ADVI)",0.4,6,"beta5",-5,-5.92190121,0.50303529830219,-6.88357425,-4.930929,-0.92190121,0.92190121,TRUE
"Naive Method (ADVI)",0.4,6,"beta6",0,0.319751200877,0.153534169349253,0.0114082225,0.6196157,0.319751200877,0.319751200877,FALSE
"Naive Method (ADVI)",0.4,6,"beta7",0,0.287994155443,0.184884532784684,-0.0729839075,0.642127325,0.287994155443,0.287994155443,TRUE
"Naive Method (ADVI)",0.4,6,"beta8",0,0.08588534063,0.173032216641905,-0.253020225,0.424568725,0.08588534063,0.08588534063,TRUE
"Naive Method (ADVI)",0.4,6,"beta9",0,-0.021140821607,0.18779651589641,-0.38134355,0.333642975,-0.021140821607,0.021140821607,TRUE
"Naive Method (ADVI)",0.4,6,"beta10",0,0.287299252074,0.150008728774978,-0.0155518075,0.566361175,0.287299252074,0.287299252074,TRUE
"Naive Method (ADVI)",0.4,6,"beta11",0,-0.0265225265,0.170777799702087,-0.35145285,0.2969242,-0.0265225265,0.0265225265,TRUE
"Naive Method (ADVI)",0.4,6,"beta12",0,0.098797619945,0.161555784227014,-0.22237355,0.3981434,0.098797619945,0.098797619945,TRUE
"Naive Method (ADVI)",0.4,6,"beta13",0,-0.2188496591574,0.168667535620918,-0.528080825,0.118064325,-0.2188496591574,0.2188496591574,TRUE
"Naive Method (ADVI)",0.4,6,"beta14",0,0.140445937224,0.161536959757532,-0.1704457,0.4528019,0.140445937224,0.140445937224,TRUE
"Naive Method (ADVI)",0.4,6,"beta15",0,0.0050307057153,0.189338903130356,-0.34625295,0.367322625,0.0050307057153,0.0050307057153,TRUE
"Naive Method (ADVI)",0.4,6,"beta16",0,0.183461803393,0.190209665923172,-0.192866725,0.558117925,0.183461803393,0.183461803393,TRUE
"Naive Method (ADVI)",0.4,6,"beta17",0,0.00147856919199999,0.18344181333284,-0.362192825,0.352083675,0.00147856919199999,0.00147856919199999,TRUE
"Naive Method (ADVI)",0.4,6,"beta18",0,0.072466939785,0.160139899211497,-0.2346601,0.37991125,0.072466939785,0.072466939785,TRUE
"Naive Method (ADVI)",0.4,6,"beta19",0,0.11437932806,0.173417863797818,-0.216545525,0.4568682,0.11437932806,0.11437932806,TRUE
"Naive Method (ADVI)",0.4,6,"beta20",0,-0.097761329894,0.169638719577408,-0.449310575,0.238821,-0.097761329894,0.097761329894,TRUE
"Proposed Method (ADVI)",0.4,6,"beta1",1,0.889207738,0.180803793137224,0.55640745,1.2688715,-0.110792262,0.110792262,TRUE
"Proposed Method (ADVI)",0.4,6,"beta2",2,2.34858364,0.262898420745696,1.830948,2.87521025,0.34858364,0.34858364,TRUE
"Proposed Method (ADVI)",0.4,6,"beta3",3,3.28233852,0.328384494002245,2.6271815,3.93914375,0.28233852,0.28233852,TRUE
"Proposed Method (ADVI)",0.4,6,"beta4",-4,-4.71536405,0.449205106269503,-5.60851875,-3.8061735,-0.71536405,0.71536405,TRUE
"Proposed Method (ADVI)",0.4,6,"beta5",-5,-5.95151809,0.534897843182315,-6.968941,-4.886351,-0.95151809,0.95151809,TRUE
"Proposed Method (ADVI)",0.4,6,"beta6",0,0.342778137932,0.154544390599948,0.03009508,0.629416375,0.342778137932,0.342778137932,FALSE
"Proposed Method (ADVI)",0.4,6,"beta7",0,0.30249985734,0.194185169003815,-0.0935943025,0.6795854,0.30249985734,0.30249985734,TRUE
"Proposed Method (ADVI)",0.4,6,"beta8",0,0.11305830934,0.165138961947864,-0.209303975,0.43680925,0.11305830934,0.11305830934,TRUE
"Proposed Method (ADVI)",0.4,6,"beta9",0,-0.048380789777,0.187003314007302,-0.429466125,0.3360054,-0.048380789777,0.048380789777,TRUE
"Proposed Method (ADVI)",0.4,6,"beta10",0,0.27814680604,0.137688109149181,0.01344395325,0.5393165,0.27814680604,0.27814680604,FALSE
"Proposed Method (ADVI)",0.4,6,"beta11",0,-0.054221381305,0.18623278351421,-0.405504625,0.307754725,-0.054221381305,0.054221381305,TRUE
"Proposed Method (ADVI)",0.4,6,"beta12",0,0.071570269723,0.172185853255651,-0.268165625,0.418278025,0.071570269723,0.071570269723,TRUE
"Proposed Method (ADVI)",0.4,6,"beta13",0,-0.177474830033,0.180395662187151,-0.527130125,0.180655,-0.177474830033,0.177474830033,TRUE
"Proposed Method (ADVI)",0.4,6,"beta14",0,0.160164427992,0.166874243374743,-0.15856515,0.4783245,0.160164427992,0.160164427992,TRUE
"Proposed Method (ADVI)",0.4,6,"beta15",0,0.00396306877299999,0.166699363340608,-0.3272314,0.32116925,0.00396306877299999,0.00396306877299999,TRUE
"Proposed Method (ADVI)",0.4,6,"beta16",0,0.169071616173,0.162433712901948,-0.139400625,0.490293575,0.169071616173,0.169071616173,TRUE
"Proposed Method (ADVI)",0.4,6,"beta17",0,-0.044093781302,0.189744011408128,-0.40080815,0.3311176,-0.044093781302,0.044093781302,TRUE
"Proposed Method (ADVI)",0.4,6,"beta18",0,0.047032395549,0.187519722886581,-0.33083585,0.414386225,0.047032395549,0.047032395549,TRUE
"Proposed Method (ADVI)",0.4,6,"beta19",0,0.0937147638347,0.146363064334306,-0.195389825,0.366216825,0.0937147638347,0.0937147638347,TRUE
"Proposed Method (ADVI)",0.4,6,"beta20",0,-0.05762113280947,0.171027989814811,-0.39072745,0.275383875,-0.05762113280947,0.05762113280947,TRUE
"Proposed Method (ADVI)",0.4,6,"eta",0.4,0.585059443,0.323891310503722,0.17910415,1.3497285,0.185059443,0.185059443,TRUE
"Naive Method (ADVI)",0.4,7,"beta1",1,0.68136103164,0.416423870863531,-0.1398061,1.48515525,-0.31863896836,0.31863896836,TRUE
"Naive Method (ADVI)",0.4,7,"beta2",2,-0.273380371586,0.670380326305527,-1.54575675,1.02343275,-2.273380371586,2.273380371586,FALSE
"Naive Method (ADVI)",0.4,7,"beta3",3,0.72992011796,0.624037622203692,-0.519124825,1.9520955,-2.27007988204,2.27007988204,FALSE
"Naive Method (ADVI)",0.4,7,"beta4",-4,-1.88223799417,0.6217660143691,-3.09118025,-0.7080947,2.11776200583,2.11776200583,FALSE
"Naive Method (ADVI)",0.4,7,"beta5",-5,-2.1241652382,0.780458038914377,-3.69956825,-0.5361855,2.8758347618,2.8758347618,FALSE
"Naive Method (ADVI)",0.4,7,"beta6",0,-1.0849045168,0.572282379372555,-2.2274175,0.0160664899999995,-1.0849045168,1.0849045168,TRUE
"Naive Method (ADVI)",0.4,7,"beta7",0,-0.209587299765,0.402870289196136,-0.972863175,0.59016635,-0.209587299765,0.209587299765,TRUE
"Naive Method (ADVI)",0.4,7,"beta8",0,0.166862180776,0.410924132770275,-0.6560562,0.98556635,0.166862180776,0.166862180776,TRUE
"Naive Method (ADVI)",0.4,7,"beta9",0,0.63532713545,0.552629756052211,-0.4143549,1.65340125,0.63532713545,0.63532713545,TRUE
"Naive Method (ADVI)",0.4,7,"beta10",0,-0.053421956505,0.415454262174899,-0.915189975,0.747437375,-0.053421956505,0.053421956505,TRUE
"Naive Method (ADVI)",0.4,7,"beta11",0,-0.619369373163,0.602480130563935,-1.79039225,0.53539155,-0.619369373163,0.619369373163,TRUE
"Naive Method (ADVI)",0.4,7,"beta12",0,0.400827376747,0.437987533526613,-0.4725917,1.2087855,0.400827376747,0.400827376747,TRUE
"Naive Method (ADVI)",0.4,7,"beta13",0,-0.07746635710652,0.432416079855777,-0.946965975,0.7666328,-0.07746635710652,0.07746635710652,TRUE
"Naive Method (ADVI)",0.4,7,"beta14",0,1.133802077049,0.720404453887912,-0.271036525,2.56657825,1.133802077049,1.133802077049,TRUE
"Naive Method (ADVI)",0.4,7,"beta15",0,0.85683639353,0.651510659771796,-0.364313725,2.12438875,0.85683639353,0.85683639353,TRUE
"Naive Method (ADVI)",0.4,7,"beta16",0,0.25014010681,0.505482639539212,-0.74888865,1.18837875,0.25014010681,0.25014010681,TRUE
"Naive Method (ADVI)",0.4,7,"beta17",0,0.968666761406,0.640454002909879,-0.326499825,2.1694835,0.968666761406,0.968666761406,TRUE
"Naive Method (ADVI)",0.4,7,"beta18",0,-0.001094161251,0.390076477502893,-0.7363055,0.744061175,-0.001094161251,0.001094161251,TRUE
"Naive Method (ADVI)",0.4,7,"beta19",0,0.764407905669,0.65852880123638,-0.42294765,2.084642,0.764407905669,0.764407905669,TRUE
"Naive Method (ADVI)",0.4,7,"beta20",0,0.73415946812,0.542103841578003,-0.325615125,1.79888475,0.73415946812,0.73415946812,TRUE
"Proposed Method (ADVI)",0.4,7,"beta1",1,1.141829933,0.188330309188536,0.794972875,1.53808425,0.141829933,0.141829933,TRUE
"Proposed Method (ADVI)",0.4,7,"beta2",2,2.23920043,0.238218031687226,1.7609025,2.722117,0.23920043,0.23920043,TRUE
"Proposed Method (ADVI)",0.4,7,"beta3",3,3.30844946,0.326944344458934,2.67860225,3.98125225,0.30844946,0.30844946,TRUE
"Proposed Method (ADVI)",0.4,7,"beta4",-4,-4.93365299,0.456050376716063,-5.86104175,-4.014038,-0.93365299,0.93365299,FALSE
"Proposed Method (ADVI)",0.4,7,"beta5",-5,-5.86235913,0.502997024419746,-6.799895,-4.861001,-0.86235913,0.86235913,TRUE
"Proposed Method (ADVI)",0.4,7,"beta6",0,-0.092953192032,0.165151212916183,-0.434755475,0.211944575,-0.092953192032,0.092953192032,TRUE
"Proposed Method (ADVI)",0.4,7,"beta7",0,-0.0088315419471,0.178529459352416,-0.34891055,0.328353725,-0.0088315419471,0.0088315419471,TRUE
"Proposed Method (ADVI)",0.4,7,"beta8",0,0.0177423841501,0.161930800090638,-0.290253725,0.33180035,0.0177423841501,0.0177423841501,TRUE
"Proposed Method (ADVI)",0.4,7,"beta9",0,0.001183763909,0.180909903213321,-0.359459225,0.355546125,0.001183763909,0.001183763909,TRUE
"Proposed Method (ADVI)",0.4,7,"beta10",0,-0.132082682511,0.161125700025012,-0.449083275,0.1891236,-0.132082682511,0.132082682511,TRUE
"Proposed Method (ADVI)",0.4,7,"beta11",0,0.25114641145,0.168543155048466,-0.0693239375,0.5876068,0.25114641145,0.25114641145,TRUE
"Proposed Method (ADVI)",0.4,7,"beta12",0,0.132754163272,0.173661573892115,-0.231780875,0.464758625,0.132754163272,0.132754163272,TRUE
"Proposed Method (ADVI)",0.4,7,"beta13",0,-0.265826891777,0.17302178982495,-0.581447125,0.0811232349999999,-0.265826891777,0.265826891777,TRUE
"Proposed Method (ADVI)",0.4,7,"beta14",0,-0.173489535025,0.181796954317375,-0.53604085,0.16557475,-0.173489535025,0.173489535025,TRUE
"Proposed Method (ADVI)",0.4,7,"beta15",0,-0.19762338706,0.167973240619456,-0.529236025,0.126480575,-0.19762338706,0.19762338706,TRUE
