"method","setting","kind","param","avgBias","avgSEE","avgSEM","avgCI","meanMissing","n"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta1",0.17155033443,0.17293517358761,0.183692091022288,0.895,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta2",0.26336091935,0.219505831565988,0.242780572206839,0.91,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta3",0.3708313316,0.267816273523264,0.324469367668079,0.915,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta4",0.51572888625,0.336650789467869,0.409735160827486,0.885,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta5",0.6084599588,0.388477404461919,0.492566450810414,0.89,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta6",0.136777121135684,0.16847581355667,0.168974761181461,0.955,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta7",0.134710709478746,0.174079092468052,0.187103611168432,0.96,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta8",0.132064079542663,0.165072506701643,0.166404526927341,0.945,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta9",0.129847098138077,0.160669924836651,0.179959216848312,0.975,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta10",0.135013786664244,0.172288254998522,0.155034951411973,0.915,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta11",0.150212048903392,0.184528974381866,0.174010430419196,0.935,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta12",0.134034121540923,0.169670589166753,0.178961584722092,0.965,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta13",0.131011270266564,0.16053043557291,0.175560332191072,0.965,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta14",0.138458647377383,0.170860896487285,0.168943021291905,0.945,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta15",0.151410674655129,0.187506836753899,0.16635897025022,0.905,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta16",0.151758122313518,0.179987730023238,0.156232621917173,0.93,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta17",0.134456148341061,0.167575943362819,0.183457592974352,0.955,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta18",0.130426652465827,0.168076399128246,0.181223962664112,0.97,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta19",0.136336207779224,0.167370253874933,0.164660812972033,0.955,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta20",0.136109247107395,0.171391630174071,0.170031914424226,0.945,10,200
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","eta",0.325450394765,0.299278495122127,0.346250213729707,0.865,10,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta1",0.21094842649975,0.207994332958445,0.189263351476086,0.845,30,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta2",0.3005452444,0.235816796921518,0.248337086118725,0.86,30,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta3",0.40697707685,0.277927443704155,0.333035774760214,0.855,30,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta4",0.5754293458,0.366846259702746,0.419172355259621,0.8,30,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta5",0.6998646272,0.423740354561067,0.505763868561103,0.78,30,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta6",0.153293125966205,0.191690770832747,0.172407727867342,0.925,30,200
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta7",0.148650506905987,0.183426082117131,0.189286549066298,0.965,30,200
