"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Naive Method (ADVI)",0.4,1,"beta1",1,0.95963106,0.180591413378024,0.6036986,1.307619,-0.04036894,0.04036894,TRUE
"Naive Method (ADVI)",0.4,1,"beta2",2,2.39827307,0.266084135177707,1.878015,2.930725,0.39827307,0.39827307,TRUE
"Naive Method (ADVI)",0.4,1,"beta3",3,3.31364656,0.286759753693409,2.727663,3.83497475,0.31364656,0.31364656,TRUE
"Naive Method (ADVI)",0.4,1,"beta4",-4,-4.63049233,0.405205643575774,-5.42691675,-3.87905575,-0.63049233,0.63049233,TRUE
"Naive Method (ADVI)",0.4,1,"beta5",-5,-5.94362018,0.496199144658198,-6.900288,-4.97559975,-0.94362018,0.94362018,TRUE
"Naive Method (ADVI)",0.4,1,"beta6",0,-0.162260530662,0.183592279729533,-0.523644975,0.201268625,-0.162260530662,0.162260530662,TRUE
"Naive Method (ADVI)",0.4,1,"beta7",0,0.072581311721,0.170131872059279,-0.2591426,0.402339725,0.072581311721,0.072581311721,TRUE
"Naive Method (ADVI)",0.4,1,"beta8",0,-0.0920421562711,0.171283467318309,-0.432753375,0.244909,-0.0920421562711,0.0920421562711,TRUE
"Naive Method (ADVI)",0.4,1,"beta9",0,0.13420387014367,0.181000456845303,-0.229730975,0.456005325,0.13420387014367,0.13420387014367,TRUE
"Naive Method (ADVI)",0.4,1,"beta10",0,-0.3573943268,0.159038624592171,-0.678002,-0.0616217950000001,-0.3573943268,0.3573943268,FALSE
"Naive Method (ADVI)",0.4,1,"beta11",0,0.102990776195,0.14447776133388,-0.173198175,0.375339425,0.102990776195,0.102990776195,TRUE
"Naive Method (ADVI)",0.4,1,"beta12",0,0.019161328788,0.164634390381042,-0.317687175,0.3290466,0.019161328788,0.019161328788,TRUE
"Naive Method (ADVI)",0.4,1,"beta13",0,0.1109915802066,0.169611156681828,-0.207591375,0.435386225,0.1109915802066,0.1109915802066,TRUE
"Naive Method (ADVI)",0.4,1,"beta14",0,-0.037217747565,0.159459554541015,-0.3317167,0.27290985,-0.037217747565,0.037217747565,TRUE
"Naive Method (ADVI)",0.4,1,"beta15",0,0.157383896272,0.159159683116479,-0.14683085,0.45959095,0.157383896272,0.157383896272,TRUE
"Naive Method (ADVI)",0.4,1,"beta16",0,-0.083455627973,0.16342916783088,-0.403133325,0.222644425,-0.083455627973,0.083455627973,TRUE
"Naive Method (ADVI)",0.4,1,"beta17",0,0.029341868118,0.186128165270918,-0.33570245,0.40438215,0.029341868118,0.029341868118,TRUE
"Naive Method (ADVI)",0.4,1,"beta18",0,-0.2732140764,0.148933536820873,-0.55651605,0.0212317799999999,-0.2732140764,0.2732140764,TRUE
"Naive Method (ADVI)",0.4,1,"beta19",0,-0.134865053553,0.165175561203122,-0.450643375,0.1736244,-0.134865053553,0.134865053553,TRUE
"Naive Method (ADVI)",0.4,1,"beta20",0,0.015337757472,0.177913006425664,-0.3301612,0.374419625,0.015337757472,0.015337757472,TRUE
"Proposed Method (ADVI)",0.4,1,"beta1",1,1.060468599,0.175567168167298,0.737117675,1.42986975,0.060468599,0.060468599,TRUE
"Proposed Method (ADVI)",0.4,1,"beta2",2,2.49915143,0.255130248434641,1.99233025,3.011017,0.49915143,0.49915143,TRUE
"Proposed Method (ADVI)",0.4,1,"beta3",3,3.36267793,0.314012732174641,2.73529275,3.992514,0.36267793,0.36267793,TRUE
"Proposed Method (ADVI)",0.4,1,"beta4",-4,-4.78849637,0.426263022989669,-5.6336525,-3.922992,-0.78849637,0.78849637,TRUE
"Proposed Method (ADVI)",0.4,1,"beta5",-5,-6.10667485,0.539454654457066,-7.11378375,-5.02262475,-1.10667485,1.10667485,FALSE
"Proposed Method (ADVI)",0.4,1,"beta6",0,-0.096523040412,0.179525309082161,-0.454904675,0.2490431,-0.096523040412,0.096523040412,TRUE
"Proposed Method (ADVI)",0.4,1,"beta7",0,0.1309576079148,0.179187858212061,-0.2394558,0.4752399,0.1309576079148,0.1309576079148,TRUE
"Proposed Method (ADVI)",0.4,1,"beta8",0,-0.089978876268,0.167313280147383,-0.413269075,0.25345505,-0.089978876268,0.089978876268,TRUE
"Proposed Method (ADVI)",0.4,1,"beta9",0,0.1231363835407,0.173010840365605,-0.23683605,0.454896375,0.1231363835407,0.1231363835407,TRUE
"Proposed Method (ADVI)",0.4,1,"beta10",0,-0.38051299689,0.152841632135651,-0.6890528,-0.0784061875,-0.38051299689,0.38051299689,FALSE
"Proposed Method (ADVI)",0.4,1,"beta11",0,0.0968121021762,0.16069611774462,-0.208265375,0.4156581,0.0968121021762,0.0968121021762,TRUE
