"dataset","disease_rate","eta_true","eta_PL","eta_PL_se","CV_PL","eta_MCMLE","eta_MCMLE_se","CV_MCMLE","SE_ratio_PL_over_MCMLE","secs"
1,0.504,0.11,0.0998,0.0684,0.685,0.106,0.0684,0.646,1,3
2,0.518,0.11,0.0708,0.0688,0.971,0.061,0.068,1.116,1.01,2.8
