"method","setting","kind","param","avgBias","avgSEE","avgSEM","avgCI","meanMissing","n"
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta13",0.125126415873,NA,0.144750177752727,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta14",0.0321129803816,NA,0.155488331327824,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta15",0.205074515108,NA,0.162861972341031,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta16",0.23050244595,NA,0.149431612392825,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta17",0.0253178299682,NA,0.168711981371981,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta18",0.1164329345808,NA,0.163232640368969,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta19",0.26089653846,NA,0.151005526326586,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","beta20",0.120384674572,NA,0.157109636105065,1,5,1
"Missing first-pass (ADVI)","gamma=(-6,1,4)","nonignorable","eta",0.124585278,NA,0.321655399978707,1,5,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta1",0.0206174960000001,NA,0.170059845144168,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta2",0.17663628,NA,0.238770357745889,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta3",0.0755375200000001,NA,0.308238521984006,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta4",0.21087972,NA,0.389051070937119,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta5",0.18215295,NA,0.451121800251395,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta6",0.2650967269437,NA,0.156897585526629,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta7",0.283619481559,NA,0.166762886061893,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta8",0.080327230363,NA,0.159161887307792,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta9",0.128441260304,NA,0.156474282473501,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta10",0.21459469893,NA,0.134320148533042,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta11",0.0773782406944,NA,0.170083601084062,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta12",0.035697282154,NA,0.170038020045458,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta13",0.244721320833,NA,0.153858593725099,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta14",0.094435992945055,NA,0.159461254947562,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta15",0.133878757258,NA,0.144894593663593,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta16",0.089294313862,NA,0.156423316097156,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta17",0.165645182251,NA,0.176584678296673,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta18",0.0664130106723,NA,0.162026548815303,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta19",0.0082152086131,NA,0.141490349779618,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","beta20",0.032921062533,NA,0.155058748522926,1,12,1
"Missing first-pass (ADVI)","gamma=(-5,1,1.6)","nonignorable","eta",0.0928176150000002,NA,0.319255337474647,1,12,1
