"eta_true","mode","fixed_X","rep","eta_hat","abs_bias","disease_rate"
0.4,"one_parallel",FALSE,1,0.43740775833313,0.0374077583331302,0.51
0.4,"one_parallel",FALSE,2,0.169156719388162,0.230843280611839,0.513333333333333
0.4,"one_parallel",FALSE,3,0.463595050698679,0.0635950506986788,0.492222222222222
0.4,"one_parallel",FALSE,4,0.315546647760512,0.0844533522394879,0.516666666666667
0.4,"one_parallel",FALSE,5,0.720339229845322,0.320339229845322,0.523333333333333
0.4,"one_parallel",FALSE,6,0.8185077389276,0.4185077389276,0.53
0.4,"one_parallel",FALSE,7,0.0956212831006222,0.304378716899378,0.514444444444444
0.4,"one_parallel",FALSE,8,0.0853198388294173,0.314680161170583,0.488888888888889
0.4,"one_parallel",FALSE,9,0.696110855628546,0.296110855628546,0.506666666666667
0.4,"one_parallel",FALSE,10,0.331951504581555,0.068048495418445,0.485555555555556
0.4,"one_parallel",FALSE,11,0.6311656259707,0.2311656259707,0.505555555555556
0.4,"one_parallel",FALSE,12,0.549130001608738,0.149130001608738,0.498888888888889
0.4,"one_parallel",FALSE,13,0.267280002111393,0.132719997888607,0.537777777777778
0.4,"one_parallel",FALSE,14,0.940719058951628,0.540719058951628,0.546666666666667
0.4,"one_parallel",FALSE,15,0.358410210691264,0.0415897893087362,0.484444444444444
0.4,"one_parallel",FALSE,16,0.467340956063998,0.0673409560639984,0.5
0.4,"one_parallel",FALSE,17,0.465093938712908,0.0650939387129079,0.523333333333333
0.4,"one_parallel",FALSE,18,0.592491689126524,0.192491689126524,0.492222222222222
0.4,"one_parallel",FALSE,19,0.409472262225959,0.00947226222595904,0.507777777777778
0.4,"one_parallel",FALSE,20,0.228884636713043,0.171115363286957,0.496666666666667
0.4,"one_parallel",FALSE,21,0.607009577018595,0.207009577018595,0.493333333333333
0.4,"one_parallel",FALSE,22,0.65888540367905,0.25888540367905,0.534444444444444
0.4,"one_parallel",FALSE,23,0.899269091482253,0.499269091482253,0.526666666666667
0.4,"one_parallel",FALSE,24,0.504747062336272,0.104747062336272,0.484444444444444
0.4,"one_parallel",FALSE,25,0.346041496384965,0.0539585036150352,0.508888888888889
0.4,"one_parallel",FALSE,26,0.40624038783462,0.0062403878346205,0.507777777777778
0.4,"one_parallel",FALSE,27,-0.0489784675759943,0.448978467575994,0.495555555555556
0.4,"one_parallel",FALSE,28,0.64172901862996,0.24172901862996,0.49
0.4,"one_parallel",FALSE,29,0.399917881228887,8.21187711132487e-05,0.513333333333333
0.4,"one_parallel",FALSE,30,0.766735415540093,0.366735415540093,0.5
0.4,"one_parallel",FALSE,31,0.657109711745116,0.257109711745116,0.501111111111111
0.4,"one_parallel",FALSE,32,0.374752549255256,0.0252474507447435,0.516666666666667
0.4,"one_parallel",FALSE,33,0.590870401448183,0.190870401448183,0.507777777777778
0.4,"one_parallel",FALSE,34,0.661847459187042,0.261847459187042,0.52
0.4,"one_parallel",FALSE,35,0.178453005571518,0.221546994428482,0.514444444444444
