"table","group","metric","method","param","target","candidate","value","ratio","abs_log_error","parameter_class"
"C1-C3","Proposed Method (ADVI)|0.4|beta2","SEE","Proposed Method (ADVI)","beta2",0.047,"rmse_se_mean",0.02571,0.54704,0.60324,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta2","SEM","Proposed Method (ADVI)","beta2",0.047,"mean_posterior_variance",0.06051,1.28745,0.25266,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta3","SEE","Proposed Method (ADVI)","beta3",0.065,"rmse_se_mean",0.03306,0.5086,0.67609,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta3","SEM","Proposed Method (ADVI)","beta3",0.066,"mean_posterior_variance",0.10635,1.61134,0.47707,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta4","SEE","Proposed Method (ADVI)","beta4",0.047,"rmse_se_mean",0.04328,0.92081,0.0825,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta4","SEM","Proposed Method (ADVI)","beta4",0.047,"rms_posterior_sd_se_mean",0.02903,0.61763,0.48187,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta5","SEE","Proposed Method (ADVI)","beta5",0.056,"rmse_se_mean",0.05495,0.9813,0.01888,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta5","SEM","Proposed Method (ADVI)","beta5",0.057,"rms_posterior_sd_se_mean",0.03523,0.6181,0.48111,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|eta","SEE","Proposed Method (ADVI)","eta",0.044,"rmse_se_mean",0.02181,0.49579,0.70161,"eta"
"C1-C3","Proposed Method (ADVI)|0.4|eta","SEM","Proposed Method (ADVI)","eta",0.044,"rms_posterior_sd_se_mean",0.02206,0.50133,0.69049,"eta"
"C1-C3","Proposed Method (ADVI)|1.6|beta1","SEE","Proposed Method (ADVI)","beta1",0.043,"rmse_se_mean",0.01643,0.38202,0.96228,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta1","SEM","Proposed Method (ADVI)","beta1",0.043,"mean_posterior_variance",0.03399,0.79047,0.23513,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta2","SEE","Proposed Method (ADVI)","beta2",0.032,"rmse_se_mean",0.02317,0.72398,0.32299,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta2","SEM","Proposed Method (ADVI)","beta2",0.033,"mean_posterior_variance",0.05932,1.79771,0.58652,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta3","SEE","Proposed Method (ADVI)","beta3",0.033,"rmse_se_mean",0.02974,0.90116,0.10407,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta3","SEM","Proposed Method (ADVI)","beta3",0.034,"sqrt_mean_posterior_variance_over_n",0.02293,0.67455,0.39371,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta4","SEE","Proposed Method (ADVI)","beta4",0.046,"rmse_se_mean",0.04137,0.89942,0.10601,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta4","SEM","Proposed Method (ADVI)","beta4",0.047,"rms_posterior_sd_se_mean",0.02887,0.61415,0.48751,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta5","SEE","Proposed Method (ADVI)","beta5",0.038,"mean_abs_error_se_mean",0.0432,1.13694,0.12834,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta5","SEM","Proposed Method (ADVI)","beta5",0.039,"rms_posterior_sd_se_mean",0.03489,0.89457,0.11141,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|eta","SEE","Proposed Method (ADVI)","eta",0.069,"rmse_se_mean",0.03103,0.44965,0.79928,"eta"
"C1-C3","Proposed Method (ADVI)|1.6|eta","SEM","Proposed Method (ADVI)","eta",0.07,"mean_posterior_variance",0.11842,1.69177,0.52577,"eta"
"C1-C3","Proposed Method (ADVI)|2.8|beta1","SEE","Proposed Method (ADVI)","beta1",0.055,"mean_abs_error",0.17851,3.24567,1.17732,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta1","SEM","Proposed Method (ADVI)","beta1",0.056,"mean_posterior_variance",0.03435,0.61346,0.48864,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta2","SEE","Proposed Method (ADVI)","beta2",0.047,"rmse_se_mean",0.0224,0.47651,0.74127,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta2","SEM","Proposed Method (ADVI)","beta2",0.047,"mean_posterior_variance",0.06008,1.27824,0.24548,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta3","SEE","Proposed Method (ADVI)","beta3",0.065,"rmse_se_mean",0.0316,0.48612,0.7213,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta3","SEM","Proposed Method (ADVI)","beta3",0.066,"mean_posterior_variance",0.10623,1.60952,0.47593,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta4","SEE","Proposed Method (ADVI)","beta4",0.047,"rmse_se_mean",0.03967,0.84409,0.1695,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta4","SEM","Proposed Method (ADVI)","beta4",0.047,"sqrt_mean_posterior_variance_over_n",0.02884,0.61354,0.48852,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta5","SEE","Proposed Method (ADVI)","beta5",0.056,"rmse_se_mean",0.05044,0.9007,0.10458,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta5","SEM","Proposed Method (ADVI)","beta5",0.057,"rms_posterior_sd_se_mean",0.035,0.61411,0.48759,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|eta","SEE","Proposed Method (ADVI)","eta",0.057,"rmse_se_mean",0.03775,0.66229,0.41205,"eta"
"C1-C3","Proposed Method (ADVI)|2.8|eta","SEM","Proposed Method (ADVI)","eta",0.056,"rms_posterior_sd_se_mean",0.02782,0.49674,0.69968,"eta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta1","SEE","Proposed Method (ADVI)","beta1",0.046,"mean_abs_error",0.06001,1.30456,0.26587,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta1","SEM","Proposed Method (ADVI)","beta1",0.047,"mean_posterior_sd",0.0745,1.58511,0.46066,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta2","SEE","Proposed Method (ADVI)","beta2",0.032,"empirical_sd",0.09044,2.82631,1.03897,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta2","SEM","Proposed Method (ADVI)","beta2",0.032,"mean_posterior_variance",0.01185,0.37035,0.9933,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta3","SEE","Proposed Method (ADVI)","beta3",0.048,"empirical_sd",0.11995,2.49892,0.91586,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta3","SEM","Proposed Method (ADVI)","beta3",0.048,"mean_posterior_variance",0.0183,0.38127,0.96425,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta4","SEE","Proposed Method (ADVI)","beta4",0.057,"empirical_sd",0.15592,2.73545,1.0063,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta4","SEM","Proposed Method (ADVI)","beta4",0.059,"mean_posterior_variance",0.0263,0.44581,0.80787,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta5","SEE","Proposed Method (ADVI)","beta5",0.043,"rmse_se_mean",0.01921,0.44678,0.8057,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|beta5","SEM","Proposed Method (ADVI)","beta5",0.043,"mean_posterior_variance",0.04035,0.93844,0.06353,"beta"
"C4","Proposed Method (ADVI)|0.1|0.1|eta","SEE","Proposed Method (ADVI)","eta",0.025,"mean_abs_error_se_mean",0.02639,1.05568,0.05418,"eta"
"C4","Proposed Method (ADVI)|0.1|0.1|eta","SEM","Proposed Method (ADVI)","eta",0.025,"sqrt_mean_posterior_variance_over_n",0.02,0.79994,0.22322,"eta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta1","SEE","Proposed Method (ADVI)","beta1",0.045,"mean_abs_error",0.05315,1.18107,0.16642,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta1","SEM","Proposed Method (ADVI)","beta1",0.043,"mean_posterior_sd",0.07395,1.71972,0.54216,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta2","SEE","Proposed Method (ADVI)","beta2",0.054,"empirical_sd",0.09039,1.6738,0.5151,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta2","SEM","Proposed Method (ADVI)","beta2",0.054,"mean_posterior_sd",0.10853,2.00974,0.698,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta3","SEE","Proposed Method (ADVI)","beta3",0.042,"empirical_sd",0.12201,2.90511,1.06647,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta3","SEM","Proposed Method (ADVI)","beta3",0.043,"mean_posterior_variance",0.01825,0.42445,0.85696,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta4","SEE","Proposed Method (ADVI)","beta4",0.076,"empirical_sd",0.15512,2.04099,0.71343,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta4","SEM","Proposed Method (ADVI)","beta4",0.074,"mean_posterior_sd",0.1616,2.18378,0.78106,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta5","SEE","Proposed Method (ADVI)","beta5",0.054,"rmse_se_mean",0.01966,0.36407,1.01041,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|beta5","SEM","Proposed Method (ADVI)","beta5",0.054,"mean_posterior_variance",0.04034,0.74707,0.2916,"beta"
"C4","Proposed Method (ADVI)|0.1|0.4|eta","SEE","Proposed Method (ADVI)","eta",0.031,"rmse_se_mean",0.03052,0.98465,0.01547,"eta"
"C4","Proposed Method (ADVI)|0.1|0.4|eta","SEM","Proposed Method (ADVI)","eta",0.031,"sqrt_mean_posterior_variance_over_n",0.0202,0.65169,0.42819,"eta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta1","SEE","Proposed Method (ADVI)","beta1",0.034,"mean_abs_error",0.06042,1.77705,0.57495,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta1","SEM","Proposed Method (ADVI)","beta1",0.034,"mean_posterior_sd",0.07415,2.18081,0.7797,"beta"
"C4","Proposed Method (ADVI)|0.4|0.1|beta2","SEE","Proposed Method (ADVI)","beta2",0.045,"mean_abs_error",0.08609,1.913,0.64867,"beta"
