"eta_true","rep","centered","eta_hat","abs_bias"
0.4,1,FALSE,0.455648051105402,0.0556480511054018
0.4,1,TRUE,0.790217447655458,0.390217447655458
0.4,2,FALSE,0.365555650677631,0.0344443493223693
0.4,2,TRUE,0.0235741951348846,0.376425804865115
0.4,3,FALSE,0.86777384186481,0.46777384186481
0.4,3,TRUE,1.5055877840917,1.1055877840917
0.4,4,FALSE,0.112149135760979,0.287850864239021
0.4,4,TRUE,-0.271725766568618,0.671725766568618
0.4,5,FALSE,0.459486456521076,0.0594864565210763
0.4,5,TRUE,-0.0933754288723686,0.493375428872369
0.4,6,FALSE,0.454887923228575,0.054887923228575
0.4,6,TRUE,0.775661309923006,0.375661309923006
0.4,7,FALSE,0.973366991102803,0.573366991102803
0.4,7,TRUE,1.3099887093697,0.909988709369699
0.4,8,FALSE,-0.144133365557362,0.544133365557362
0.4,8,TRUE,0.689444406321884,0.289444406321884
0.4,9,FALSE,0.415679906690353,0.0156799066903525
0.4,9,TRUE,1.4875644071495,1.0875644071495
0.4,10,FALSE,0.495466536414649,0.0954665364146494
0.4,10,TRUE,0.441337873870695,0.041337873870695
0.4,11,FALSE,0.0354143355449062,0.364585664455094
0.4,11,TRUE,0.224875464212422,0.175124535787578
0.4,12,FALSE,0.401834517574014,0.00183451757401348
0.4,12,TRUE,0.556087280770096,0.156087280770096
0.4,13,FALSE,0.359340830388984,0.0406591696110161
0.4,13,TRUE,0.563186170342177,0.163186170342177
0.4,14,FALSE,0.364115407782732,0.0358845922172683
0.4,14,TRUE,0.523508506666544,0.123508506666544
0.4,15,FALSE,0.226093631542843,0.173906368457157
0.4,15,TRUE,0.762053443428586,0.362053443428586
0.4,16,FALSE,0.176135452573223,0.223864547426777
0.4,16,TRUE,-0.164680515251535,0.564680515251536
0.4,17,FALSE,0.552782115645598,0.152782115645598
0.4,17,TRUE,0.561324276810514,0.161324276810514
0.4,18,FALSE,-0.224098301540734,0.624098301540734
0.4,18,TRUE,-0.139597180062132,0.539597180062132
0.4,19,FALSE,0.308546691305242,0.0914533086947575
0.4,19,TRUE,-0.485323761813798,0.885323761813798
0.4,20,FALSE,0.389497933164142,0.0105020668358578
0.4,20,TRUE,-0.105997135467149,0.505997135467149
0.4,21,FALSE,0.402210416004257,0.00221041600425748
0.4,21,TRUE,0.0184153027536924,0.381584697246308
0.4,22,FALSE,0.204035633698159,0.195964366301841
0.4,22,TRUE,0.0784338485906421,0.321566151409358
0.4,23,FALSE,0.883604677860407,0.483604677860407
0.4,23,TRUE,1.07767311605878,0.677673116058776
0.4,24,FALSE,0.0702995512539816,0.329700448746018
0.4,24,TRUE,-0.701040708760183,1.10104070876018
0.4,25,FALSE,1.08493976749814,0.684939767498139
0.4,25,TRUE,1.54905463783885,1.14905463783885
0.4,26,FALSE,0.200449864202602,0.199550135797398
0.4,26,TRUE,-0.101560066865459,0.501560066865459
0.4,27,FALSE,0.488821410641022,0.0888214106410222
0.4,27,TRUE,0.63052330300034,0.230523303000341
0.4,28,FALSE,0.668649328766775,0.268649328766775
0.4,28,TRUE,1.10043939691409,0.700439396914087
0.4,29,FALSE,0.673102187048033,0.273102187048033
0.4,29,TRUE,1.12602869298417,0.726028692984175
0.4,30,FALSE,0.0719642307565243,0.328035769243476
0.4,30,TRUE,0.618364172701234,0.218364172701234
0.4,31,FALSE,-0.0818350525071672,0.481835052507167
0.4,31,TRUE,-0.556112927371963,0.956112927371963
0.4,32,FALSE,0.935617594504591,0.535617594504591
0.4,32,TRUE,1.75654179871157,1.35654179871157
0.4,33,FALSE,0.824962898108321,0.424962898108321
0.4,33,TRUE,2.02054331680529,1.62054331680529
0.4,34,FALSE,0.480278944336679,0.0802789443366792
0.4,34,TRUE,0.675975310165232,0.275975310165232
0.4,35,FALSE,1.02059164265489,0.620591642654889
0.4,35,TRUE,1.30964436056219,0.909644360562188
0.4,36,FALSE,0.251314689008885,0.148685310991115
0.4,36,TRUE,-1.30051886684701,1.70051886684701
0.4,37,FALSE,0.314376530195861,0.0856234698041389
0.4,37,TRUE,0.201714057297256,0.198285942702744
0.4,38,FALSE,1.24101043002054,0.84101043002054
0.4,38,TRUE,2.27062610749214,1.87062610749214
0.4,39,FALSE,0.309808374547239,0.0901916254527609
0.4,39,TRUE,-0.0750162603042849,0.475016260304285
0.4,40,FALSE,0.645657769235752,0.245657769235752
0.4,40,TRUE,0.111168461118137,0.288831538881863
0.4,41,FALSE,0.326350689712114,0.0736493102878863
0.4,41,TRUE,-0.578789179116402,0.978789179116402
0.4,42,FALSE,0.777446765127679,0.377446765127679
0.4,42,TRUE,0.419237237896199,0.0192372378961986
0.4,43,FALSE,0.468065290666778,0.0680652906667783
0.4,43,TRUE,-0.375892220729381,0.775892220729381
0.4,44,FALSE,0.355118819733728,0.0448811802662717
0.4,44,TRUE,-1.20495664963208,1.60495664963208
0.4,45,FALSE,0.229029008977732,0.170970991022268
0.4,45,TRUE,0.132004089036801,0.267995910963199
0.4,46,FALSE,0.562204712205991,0.162204712205991
0.4,46,TRUE,-0.56434179207716,0.96434179207716
0.4,47,FALSE,0.30280531325907,0.0971946867409305
0.4,47,TRUE,0.925843523282548,0.525843523282548
0.4,48,FALSE,0.226121725599468,0.173878274400532
0.4,48,TRUE,0.202069235720308,0.197930764279692
0.4,49,FALSE,0.923247056339351,0.523247056339351
0.4,49,TRUE,1.34610929836926,0.946109298369262
0.4,50,FALSE,0.44530000252723,0.0453000025272295
0.4,50,TRUE,0.0787901525837395,0.32120984741626
0.4,51,FALSE,0.59736838530545,0.19736838530545
0.4,51,TRUE,1.40357541565171,1.00357541565171
0.4,52,FALSE,0.664808419817325,0.264808419817325
0.4,52,TRUE,0.822666138650635,0.422666138650635
0.4,53,FALSE,-0.26143822464205,0.66143822464205
0.4,53,TRUE,-0.0393818833569896,0.43938188335699
0.4,54,FALSE,0.552990069260491,0.152990069260491
0.4,54,TRUE,0.557479311042432,0.157479311042432
0.4,55,FALSE,0.188725526647472,0.211274473352528
0.4,55,TRUE,-0.111166785691835,0.511166785691835
0.4,56,FALSE,0.510844236794559,0.110844236794559
