"eta_true","rep","covariate","eta_hat","eta_abs_bias","beta1_hat","beta2_hat","beta3_hat","beta4_hat","beta5_hat"
0.4,1,"avg",0.455648051105402,0.0556480511054018,0.772908599887731,2.07338199709743,3.15130684274827,-3.98725212038437,-4.66175495049682
0.4,1,"sum",0.120278295746488,0.279721704253512,0.77294870392194,2.07770103851822,3.15540559650182,-3.99053324518599,-4.66732348285377
0.4,2,"avg",0.365555650677631,0.0344443493223693,0.916031184292919,1.90770067450246,3.519465695947,-3.98378278512719,-5.39084248493151
0.4,2,"sum",0.0888329260722898,0.31116707392771,0.915229673471811,1.90409610355567,3.50945185436999,-3.9747997335144,-5.38717336045848
0.4,3,"avg",0.86777384186481,0.46777384186481,0.959383472783363,2.34246573246855,3.1896056227033,-4.48266442524404,-5.54918322908286
0.4,3,"sum",0.2148188245292,0.1851811754708,0.962850836223166,2.33289280071121,3.1806781520562,-4.47171326248625,-5.53489765595365
0.4,4,"avg",0.112149135760979,0.287850864239021,1.07105113389067,2.25473229782843,3.45763061051499,-4.66655272941142,-6.01899841883873
0.4,4,"sum",0.0362124984657648,0.363787501534235,1.06896892984026,2.25400119373805,3.46123903375704,-4.66866090468007,-6.01962631493254
0.4,5,"avg",0.459486456521076,0.0594864565210763,0.915622124920934,1.93478306362829,3.54124644057315,-4.1715956707453,-5.18439442299811
0.4,5,"sum",0.121163237626933,0.278836762373067,0.915136458465682,1.93719203145691,3.54442555122781,-4.17407892721302,-5.18777849841358
0.4,6,"avg",0.454887923228575,0.054887923228575,0.858200440312,2.31725033548715,3.23994219178643,-4.63034712045483,-5.85176397106713
0.4,6,"sum",0.113216109151553,0.286783890848447,0.86002282605908,2.31806300087915,3.24295730170674,-4.63729949006132,-5.85667222318375
0.4,7,"avg",0.973366991102803,0.573366991102803,1.11983920453049,2.20853838480942,3.28859701605846,-4.86728742359606,-5.76241137674048
0.4,7,"sum",0.261387809794826,0.138612190205174,1.12794555442329,2.22241716520887,3.30828688854326,-4.89031352360936,-5.78625960631391
0.4,8,"avg",-0.144133365557362,0.544133365557362,1.25785844511255,2.43668901137747,3.58185077843796,-4.24036891351893,-5.30349069165185
0.4,8,"sum",-0.0499497396958018,0.449949739695802,1.25607856510239,2.43495350896112,3.58405135215885,-4.23919216871486,-5.30189588436089
0.4,9,"avg",0.415679906690353,0.0156799066903525,1.32037286967789,2.09975699841506,3.16443288312529,-4.30257827650128,-5.19657665317722
0.4,9,"sum",0.111419829942419,0.288580170057581,1.31913508730162,2.0967000008157,3.162775225548,-4.30227521036322,-5.1966911927256
0.4,10,"avg",0.495466536414649,0.0954665364146494,1.18208842514283,1.82843593927822,3.28415757275139,-3.91753184090132,-5.19697142560029
0.4,10,"sum",0.129322461549792,0.270677538450208,1.18366462409393,1.82833485034567,3.28713662926357,-3.9185970325177,-5.20302657895173
0.4,11,"avg",0.0354143355449062,0.364585664455094,0.846324389074432,2.42606738362819,3.22639821150938,-4.20176161051551,-5.27841473260232
0.4,11,"sum",0.00875871108322236,0.391241288916778,0.846301245385492,2.42587469463296,3.22635550858358,-4.20151034750416,-5.27822064863551
0.4,12,"avg",0.401834517574014,0.00183451757401348,1.26461559703008,2.52274675350173,3.11277835088829,-4.35675748256511,-5.14106991264999
0.4,12,"sum",0.100007393990041,0.299992606009959,1.26489775326836,2.51974244389291,3.11203040582973,-4.35814249398502,-5.14150811548244
0.4,13,"avg",0.359340830388984,0.0406591696110161,0.889299764644946,2.01139484087116,2.7991843245185,-4.06376293964338,-5.1736075157163
0.4,13,"sum",0.0949114324450319,0.305088567554968,0.890530309544987,2.01082952722985,2.79836151868377,-4.06380544405361,-5.17288838010191
0.4,14,"avg",0.364115407782732,0.0358845922172683,1.08573203543364,2.5029165865042,4.01473154623416,-4.7792295438928,-6.16748511404351
0.4,14,"sum",0.0842298524396048,0.315770147560395,1.08464107640155,2.50003074875547,4.00836587298495,-4.77559591280561,-6.16033485536322
0.4,15,"avg",0.226093631542843,0.173906368457157,0.854329425618712,2.08847330399912,3.06395431891017,-3.71884783153117,-4.64225433036504
0.4,15,"sum",0.0506810340419017,0.349318965958098,0.853276200284632,2.08906875291118,3.0640259909775,-3.71921335194215,-4.64199244850553
0.4,16,"avg",0.176135452573223,0.223864547426777,0.966352291844403,1.69037469521151,2.96504701782876,-3.94392987794614,-4.92855824438453
0.4,16,"sum",0.0454701344981744,0.354529865501826,0.965221965912029,1.69028378303695,2.96414979001378,-3.94321009798369,-4.9278539508153
0.4,17,"avg",0.552782115645598,0.152782115645598,1.16906414293721,2.46982119680253,2.88367971959596,-4.07552869578297,-5.04273628439981
0.4,17,"sum",0.132683634652087,0.267316365347913,1.16890777149941,2.46352112472516,2.87827745083269,-4.06628657632018,-5.03277122635883
0.4,18,"avg",-0.224098301540734,0.624098301540734,0.934543742659032,2.17408981454319,3.23686282562651,-4.14874481220583,-5.39629859859564
0.4,18,"sum",-0.0502370661822797,0.45023706618228,0.93482549196528,2.1705952645728,3.2342352963005,-4.14477245346201,-5.39046878031815
0.4,19,"avg",0.308546691305242,0.0914533086947575,0.946916823150289,2.69703998952347,3.81614285887347,-4.89131397795556,-6.79539899948997
0.4,19,"sum",0.07846884144413,0.32153115855587,0.947263196422662,2.69906203549237,3.81743309800847,-4.88998089128361,-6.79479940125824
0.4,20,"avg",0.389497933164142,0.0105020668358578,0.93777954077161,1.95102558963528,2.71227726622997,-3.80513188347249,-4.72947952895113
0.4,20,"sum",0.10031927542099,0.29968072457901,0.938193642304938,1.95033035081509,2.71145638916919,-3.80602946842621,-4.73319284068234
0.4,21,"avg",0.402210416004257,0.00221041600425748,1.05684437696668,2.03209349780472,3.40386258482308,-4.39040298683959,-5.86114914485388
0.4,21,"sum",0.110790421892267,0.289209578107733,1.05878779429687,2.03122686283848,3.40817771052179,-4.40077142702335,-5.87189295336763
0.4,22,"avg",0.204035633698159,0.195964366301841,1.14599405618909,2.28778730378843,3.48097106565718,-4.47419816429095,-5.5360128517531
0.4,22,"sum",0.0437129006461427,0.356287099353857,1.14641961763821,2.2886217172394,3.48191033661454,-4.47468857729814,-5.53495157368232
