"algorithm","sigma2","rho","n","eta_bias","empirical_sd","mean_posterior_sd","mean_stan_mcse","mean_draw_mcse","coverage","mean_seconds"
"fullrank",0.1,0.1,10,0.6049004133,1.18344285373724,0.403415785816191,NA,0.0127571272724581,0.8,1.7567
"fullrank",0.1,0.4,10,0.2525255544,0.299159813902965,0.269528914611935,NA,0.00852325265446754,1,1.76489999999999
"fullrank",0.4,0.1,10,0.1533748217,0.194708855091167,0.223526060416071,NA,0.00706851467319189,1,1.7778
"fullrank",0.4,0.4,10,0.2759807266,0.322174392787903,0.235306642916376,NA,0.00744104940183675,0.7,1.7646
"meanfield",0.1,0.1,10,0.17050237,0.190817662333934,0.107932597934792,NA,0.00341312843253128,0.7,3.6947
"meanfield",0.1,0.4,10,0.2675628654,0.311914840455622,0.107325598868794,NA,0.00339393343666981,0.4,1.5892
"meanfield",0.4,0.1,10,0.294406612,0.433759501931598,0.101383718049451,NA,0.00320603466692589,0.4,1.6258
"meanfield",0.4,0.4,10,0.2551570377,0.320907690182672,0.102615508505902,NA,0.00324498730135032,0.5,1.586
