"adapt_delta","rep","secs","divergences","eta_hat","eta_sd","eta_absbias","beta_absbias_mean"
0.99,1,423.1,0,0.796,0.362,0.396,0.554
0.99,2,478.2,0,0.375,0.229,0.025,0.597
0.999,1,513.8,0,0.658,0.117,0.258,0.86
0.999,2,526.8,0,0.432,0.141,0.032,0.348
