"eta_true","rep","eta_hat","eta_abs_bias","disease_rate"
0.4,1,0.19368543468805,0.20631456531195,0.533333333333333
0.4,2,0.988267532014268,0.588267532014268,0.513333333333333
0.4,3,0.686498998294694,0.286498998294694,0.534444444444444
0.4,4,0.182920974445376,0.217079025554624,0.502222222222222
0.4,5,0.152265145177485,0.247734854822515,0.516666666666667
0.4,6,0.133880393930036,0.266119606069964,0.508888888888889
0.4,7,0.503969301815776,0.103969301815776,0.518888888888889
0.4,8,0.424957808725561,0.0249578087255614,0.52
0.4,9,0.483233756645417,0.0832337566454174,0.504444444444444
0.4,10,-0.0479351469493264,0.447935146949326,0.491111111111111
0.4,11,0.703353355086112,0.303353355086111,0.52
0.4,12,0.145437819333071,0.254562180666929,0.534444444444444
0.4,13,0.149073931236601,0.250926068763399,0.498888888888889
0.4,14,0.599555854030371,0.199555854030371,0.507777777777778
0.4,15,0.175933597497398,0.224066402502602,0.525555555555556
0.4,16,0.579486062272497,0.179486062272497,0.538888888888889
0.4,17,0.762525086592023,0.362525086592023,0.507777777777778
0.4,18,0.849767261986441,0.449767261986441,0.51
0.4,19,0.522343605138372,0.122343605138372,0.494444444444444
0.4,20,0.978849167071461,0.578849167071461,0.524444444444444
1.6,1,1.7624971621953,0.162497162195305,0.528888888888889
1.6,2,1.65085489617285,0.0508548961728486,0.547777777777778
1.6,3,1.49542242468693,0.104577575313073,0.52
1.6,4,1.61702414221853,0.0170241422185333,0.57
1.6,5,1.90526895337855,0.30526895337855,0.536666666666667
1.6,6,1.65288984974331,0.0528898497433099,0.561111111111111
1.6,7,1.53816935310203,0.0618306468979659,0.538888888888889
1.6,8,1.29624618569208,0.303753814307922,0.53
1.6,9,1.94618523402896,0.346185234028965,0.538888888888889
1.6,10,1.9667975223214,0.366797522321402,0.533333333333333
1.6,11,1.75722499331854,0.157224993318541,0.54
1.6,12,1.35029198139936,0.249708018600638,0.553333333333333
1.6,13,1.67696638898162,0.076966388981619,0.548888888888889
1.6,14,1.97926742620101,0.379267426201014,0.526666666666667
1.6,15,1.7322477369273,0.132247736927296,0.55
1.6,16,1.78902464257891,0.189024642578909,0.524444444444444
1.6,17,2.09635007769708,0.496350077697078,0.516666666666667
1.6,18,2.01296294547521,0.412962945475209,0.546666666666667
1.6,19,1.5378551782309,0.0621448217691039,0.52
1.6,20,2.39604218355232,0.796042183552322,0.536666666666667
2.8,1,3.16516090906782,0.36516090906782,0.568888888888889
2.8,2,2.62588291828623,0.174117081713766,0.587777777777778
2.8,3,3.72623972482678,0.926239724826782,0.587777777777778
2.8,4,3.01334135287347,0.213341352873475,0.563333333333333
2.8,5,2.82402356169859,0.0240235616985918,0.585555555555556
2.8,6,3.05305114131293,0.253051141312926,0.615555555555556
2.8,7,2.85783307601978,0.0578330760197776,0.573333333333333
2.8,8,3.92998771154423,1.12998771154423,0.596666666666667
2.8,9,2.81986896827134,0.0198689682713371,0.587777777777778
2.8,10,3.26195654757761,0.46195654757761,0.577777777777778
2.8,11,3.37919016538121,0.579190165381206,0.584444444444444
2.8,12,2.98991429933727,0.189914299337272,0.578888888888889
2.8,13,3.17578793752262,0.375787937522624,0.617777777777778
2.8,14,3.44982368044099,0.649823680440985,0.584444444444444
2.8,15,2.71444588580443,0.0855541141955678,0.573333333333333
2.8,16,2.93235360380225,0.132353603802251,0.592222222222222
2.8,17,2.51251777212324,0.28748222787676,0.617777777777778
2.8,18,2.64901218279288,0.150987817207116,0.576666666666667
2.8,19,3.7883967412825,0.988396741282501,0.594444444444444
2.8,20,2.83819882621913,0.0381988262191268,0.578888888888889
