"xsd","eta_setting","method","param","avgBias","avgSEE","avgSEM","avgCI","n"
0.5,0.4,"Naive (ADVI)","beta1",0.234,0.282,0.299,0.96,50
1,0.4,"Naive (ADVI)","beta1",0.253,0.254,0.334,0.98,50
0.5,0.4,"Proposed (ADVI)","beta1",0.244,0.249,0.237,0.96,50
1,0.4,"Proposed (ADVI)","beta1",0.181,0.179,0.182,0.88,50
0.5,0.4,"Naive (ADVI)","beta10",0.188,0.229,0.275,0.94,50
1,0.4,"Naive (ADVI)","beta10",0.131,0.163,0.321,0.98,50
0.5,0.4,"Proposed (ADVI)","beta10",0.191,0.232,0.219,0.94,50
1,0.4,"Proposed (ADVI)","beta10",0.134,0.169,0.153,0.94,50
0.5,0.4,"Naive (ADVI)","beta11",0.304,0.365,0.32,0.92,50
1,0.4,"Naive (ADVI)","beta11",0.423,0.329,0.432,0.98,50
0.5,0.4,"Proposed (ADVI)","beta11",0.192,0.247,0.24,0.9,50
1,0.4,"Proposed (ADVI)","beta11",0.131,0.181,0.172,0.94,50
0.5,0.4,"Naive (ADVI)","beta12",0.239,0.283,0.305,0.94,50
1,0.4,"Naive (ADVI)","beta12",0.232,0.205,0.352,1,50
0.5,0.4,"Proposed (ADVI)","beta12",0.228,0.289,0.251,0.92,50
1,0.4,"Proposed (ADVI)","beta12",0.123,0.155,0.173,1,50
0.5,0.4,"Naive (ADVI)","beta13",0.128,0.166,0.286,1,50
1,0.4,"Naive (ADVI)","beta13",0.147,0.165,0.322,0.98,50
0.5,0.4,"Proposed (ADVI)","beta13",0.15,0.193,0.243,0.98,50
1,0.4,"Proposed (ADVI)","beta13",0.142,0.176,0.175,0.96,50
0.5,0.4,"Naive (ADVI)","beta14",0.418,0.537,0.345,1,50
1,0.4,"Naive (ADVI)","beta14",0.767,0.563,0.492,1,50
0.5,0.4,"Proposed (ADVI)","beta14",0.183,0.211,0.24,1,50
1,0.4,"Proposed (ADVI)","beta14",0.112,0.132,0.168,1,50
0.5,0.4,"Naive (ADVI)","beta15",0.363,0.424,0.333,0.96,50
1,0.4,"Naive (ADVI)","beta15",0.599,0.444,0.457,1,50
0.5,0.4,"Proposed (ADVI)","beta15",0.195,0.24,0.236,0.94,50
1,0.4,"Proposed (ADVI)","beta15",0.138,0.16,0.164,0.96,50
0.5,0.4,"Naive (ADVI)","beta16",0.225,0.266,0.308,0.96,50
1,0.4,"Naive (ADVI)","beta16",0.288,0.204,0.355,1,50
0.5,0.4,"Proposed (ADVI)","beta16",0.185,0.24,0.223,0.96,50
1,0.4,"Proposed (ADVI)","beta16",0.134,0.173,0.154,0.9,50
0.5,0.4,"Naive (ADVI)","beta17",0.367,0.452,0.347,0.98,50
1,0.4,"Naive (ADVI)","beta17",0.657,0.514,0.468,1,50
0.5,0.4,"Proposed (ADVI)","beta17",0.197,0.236,0.252,0.96,50
1,0.4,"Proposed (ADVI)","beta17",0.143,0.175,0.182,0.96,50
0.5,0.4,"Naive (ADVI)","beta18",0.182,0.235,0.257,0.9,50
1,0.4,"Naive (ADVI)","beta18",0.113,0.139,0.302,0.98,50
0.5,0.4,"Proposed (ADVI)","beta18",0.193,0.249,0.247,0.94,50
1,0.4,"Proposed (ADVI)","beta18",0.113,0.138,0.178,0.98,50
0.5,0.4,"Naive (ADVI)","beta19",0.322,0.42,0.328,0.94,50
1,0.4,"Naive (ADVI)","beta19",0.567,0.381,0.448,0.96,50
0.5,0.4,"Proposed (ADVI)","beta19",0.169,0.226,0.23,0.9,50
1,0.4,"Proposed (ADVI)","beta19",0.146,0.188,0.162,0.88,50
