"sigma2","rho","algorithm","rep","eta_mean","posterior_sd","stan_mcse","draw_mcse","n_draws","q025","q975","abs_bias","covered","seconds"
0.1,0.1,"meanfield",1,1.79697338,0.0846323542468302,NA,0.00267631003162208,1000,1.6321945,1.9683985,0.19697338,FALSE,22.36
0.1,0.4,"meanfield",1,1.79966102,0.11246613954477,NA,0.00355649160607806,1000,1.5770125,2.02030375,0.19966102,TRUE,0.761999999999997
0.4,0.1,"meanfield",1,1.9753183,0.112171531034771,NA,0.00354717526698142,1000,1.76015825,2.1995235,0.3753183,FALSE,0.675999999999998
0.4,0.4,"meanfield",1,1.52067192,0.114349066130154,NA,0.00361603497284504,1000,1.306784,1.7604985,0.07932808,TRUE,0.725999999999999
0.1,0.1,"fullrank",1,5.935073274,1.56592765403443,NA,0.0495189803779296,1000,1.9369945,7.8181385,4.335073274,FALSE,0.881
0.1,0.4,"fullrank",1,0.823689178,0.270795045573115,NA,0.00856329123100138,1000,0.409237525,1.41840275,0.776310822,FALSE,0.837
0.4,0.1,"fullrank",1,1.695460829,0.299182412381464,NA,0.00946097858989186,1000,1.1778125,2.3049145,0.0954608289999999,TRUE,0.934000000000005
0.4,0.4,"fullrank",1,1.644835563,0.335913938345125,NA,0.0106225314296797,1000,1.05739025,2.367889,0.0448355629999999,TRUE,0.849999999999994
