"eta_setting","rep","method","seconds"
0.4,1,"Naive Method (ADVI)",19.385
0.4,1,"Proposed Method (ADVI)",18.897
0.4,2,"Naive Method (ADVI)",0.222000000000001
0.4,2,"Proposed Method (ADVI)",0.231999999999999
0.4,3,"Naive Method (ADVI)",0.201
0.4,3,"Proposed Method (ADVI)",0.231000000000002
0.4,4,"Naive Method (ADVI)",0.215000000000003
0.4,4,"Proposed Method (ADVI)",0.231000000000002
0.4,5,"Naive Method (ADVI)",0.199000000000005
0.4,5,"Proposed Method (ADVI)",0.230000000000004
0.4,6,"Naive Method (ADVI)",0.201999999999998
0.4,6,"Proposed Method (ADVI)",0.230000000000004
0.4,7,"Naive Method (ADVI)",0.214000000000006
0.4,7,"Proposed Method (ADVI)",0.228999999999999
0.4,8,"Naive Method (ADVI)",0.214999999999996
0.4,8,"Proposed Method (ADVI)",0.229999999999997
0.4,9,"Naive Method (ADVI)",0.199000000000005
0.4,9,"Proposed Method (ADVI)",0.230000000000004
0.4,10,"Naive Method (ADVI)",0.213000000000001
0.4,10,"Proposed Method (ADVI)",0.229000000000006
0.4,11,"Naive Method (ADVI)",0.213999999999999
0.4,11,"Proposed Method (ADVI)",0.229999999999997
0.4,12,"Naive Method (ADVI)",0.198
0.4,12,"Proposed Method (ADVI)",0.231999999999999
0.4,13,"Naive Method (ADVI)",0.198
0.4,13,"Proposed Method (ADVI)",0.247
0.4,14,"Naive Method (ADVI)",0.214999999999996
0.4,14,"Proposed Method (ADVI)",0.227999999999994
0.4,15,"Naive Method (ADVI)",0.200000000000003
0.4,15,"Proposed Method (ADVI)",0.229000000000006
0.4,16,"Naive Method (ADVI)",0.198999999999998
0.4,16,"Proposed Method (ADVI)",0.230999999999995
0.4,17,"Naive Method (ADVI)",0.214000000000006
0.4,17,"Proposed Method (ADVI)",0.228999999999999
0.4,18,"Naive Method (ADVI)",0.213000000000001
0.4,18,"Proposed Method (ADVI)",0.229000000000006
0.4,19,"Naive Method (ADVI)",0.213000000000001
0.4,19,"Proposed Method (ADVI)",0.232999999999997
0.4,20,"Naive Method (ADVI)",0.198999999999998
0.4,20,"Proposed Method (ADVI)",0.231000000000002
0.4,21,"Naive Method (ADVI)",0.213000000000001
0.4,21,"Proposed Method (ADVI)",0.230000000000004
0.4,22,"Naive Method (ADVI)",0.198999999999998
0.4,22,"Proposed Method (ADVI)",0.230000000000004
0.4,23,"Naive Method (ADVI)",0.213999999999999
0.4,23,"Proposed Method (ADVI)",0.230000000000004
0.4,24,"Naive Method (ADVI)",0.201
0.4,24,"Proposed Method (ADVI)",0.231000000000002
0.4,25,"Naive Method (ADVI)",0.214999999999996
0.4,25,"Proposed Method (ADVI)",0.230000000000004
0.4,26,"Naive Method (ADVI)",0.213999999999999
0.4,26,"Proposed Method (ADVI)",0.230000000000004
0.4,27,"Naive Method (ADVI)",0.213000000000001
0.4,27,"Proposed Method (ADVI)",0.232999999999997
0.4,28,"Naive Method (ADVI)",0.198999999999998
0.4,28,"Proposed Method (ADVI)",0.229999999999997
0.4,29,"Naive Method (ADVI)",0.199000000000005
0.4,29,"Proposed Method (ADVI)",0.228999999999999
