"method","setting","sigma2","rho","param","avgBias","avgSEE","avgSEM","avgCI","n"
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta1",0.06000975849,0.0722163036311214,0.0745002951535127,0.92,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta2",0.09687019115,0.0904418197539725,0.108748525041435,0.955,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta3",0.1345480698,0.119948252766595,0.135144526678829,0.915,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta4",0.1926255837,0.155920824532416,0.161980933154045,0.865,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta5",0.2222940954,0.181220384256263,0.200679886296591,0.91,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta6",0.0504271491793047,0.0624848602957817,0.0617641928443875,0.94,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta7",0.0524275399052196,0.0650453958884099,0.0687497133605547,0.96,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta8",0.0519224774382479,0.0641344707722192,0.0603387305752901,0.95,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta9",0.0475484754878764,0.0595951040506085,0.0847160357648929,0.995,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta10",0.0531769165931463,0.0673102292142014,0.0700798273850225,0.935,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta11",0.0541902926871003,0.0643860489583917,0.0730736526235138,0.99,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta12",0.0529517239640374,0.062427396601161,0.0798008743447794,0.99,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta13",0.054468234134371,0.066759800149912,0.0709663368542086,0.97,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta14",0.0456650086739055,0.0573829673890774,0.0692993285037076,0.97,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta15",0.054605397615125,0.0651501654395071,0.0762395585546016,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta16",0.044454600524089,0.0551054836199284,0.0793935867221816,0.995,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta17",0.0450559773177849,0.0571138542314222,0.0668140578807423,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta18",0.0520586210213006,0.0646561693117894,0.0730497295504751,0.975,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta19",0.0514347550523866,0.064579467117193,0.0735167974714219,0.975,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta20",0.0499303271814745,0.0611695516504008,0.0790831637625484,0.995,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"eta",0.373237633665,0.222465639559675,0.282058004158367,0.78,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta1",0.053148077495,0.0651636509728123,0.0739478187582061,0.945,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta2",0.09908339865,0.0903854076806284,0.108525771367721,0.94,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta3",0.14242308385,0.122014721770748,0.134955441263423,0.9,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta4",0.18728761635,0.155115098962655,0.161599636342884,0.87,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta5",0.2286456568,0.184364236853728,0.20062640240382,0.89,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta6",0.0432081174985422,0.0532956190377417,0.0621310888651772,0.975,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta7",0.0551255123514231,0.0689735863124441,0.0682516534969052,0.935,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta8",0.0503785364428975,0.0624113908156781,0.0601311683483447,0.935,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta9",0.0571144277973397,0.0703613647409098,0.0841373458432712,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta10",0.0505339122182228,0.0620724375659035,0.0698586601824229,0.97,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta11",0.0538385907702117,0.067117869837865,0.0728197101876943,0.975,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta12",0.0518264250115447,0.0650194498862457,0.0794025509757541,0.99,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta13",0.0518034636138578,0.0619710158430597,0.0708253565525492,0.99,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta14",0.0556391683663999,0.0671751907359722,0.068774815614453,0.965,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta15",0.0471257948800277,0.0575318929474505,0.0768189247215544,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta16",0.0485385606039586,0.0628012050430487,0.0790552659566388,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta17",0.0519930742972739,0.0660421235602471,0.0667524337054727,0.945,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta18",0.0473679719652552,0.0587480071368745,0.0733989463598784,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta19",0.0507757524216393,0.06423428290794,0.0733970025360727,0.965,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta20",0.0511023368611581,0.0656223824625231,0.0795633557992352,0.98,200
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"eta",0.373992364385,0.237019189844719,0.284659935811844,0.79,200
