"method","setting","sigma2","rho","param","avgBias","avgSEE","avgSEM","avgCI","n"
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta1",0.06041969888,0.0742024848755338,0.074147570799525,0.94,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta2",0.0860851081,0.0928735164406022,0.106767967832351,0.95,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta3",0.1160148138,0.12618954525646,0.133193382794196,0.93,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta4",0.15749721785,0.165411760377816,0.157632577612923,0.92,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta5",0.1929378274,0.199816483026971,0.196161328584595,0.925,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta6",0.0498973976056888,0.0627815356401491,0.0615628144640853,0.955,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta7",0.049588923853277,0.0623348109244159,0.0685968279898529,0.965,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta8",0.0516315275368657,0.0644096947729422,0.0611676219203484,0.94,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta9",0.0475626568249797,0.0580335780951876,0.0826368127345149,0.99,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta10",0.051444834261014,0.0640033365959064,0.0701875422331888,0.96,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta11",0.0479817192855148,0.0631630355157023,0.0727220006493941,0.97,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta12",0.0515404494095301,0.0615029670509939,0.0781212554066737,0.985,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta13",0.0486949847178704,0.0625816828737524,0.071318414689526,0.975,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta14",0.0501347030788192,0.0615847188290278,0.0686841631693716,0.975,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta15",0.052711070296589,0.0680274671725909,0.0758770620518957,0.94,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta16",0.0479421997803759,0.0589239722148045,0.0784302521250854,0.995,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta17",0.0509032445333877,0.0654427278563829,0.0664191006274674,0.945,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta18",0.0521966537905139,0.0654154149932209,0.0737267954955533,0.985,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta19",0.0522088766574668,0.0645157944889936,0.0737289792336167,0.975,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta20",0.0481622328137059,0.058289364674613,0.0784090324913678,1,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"eta",0.33328957492,0.343732122105447,0.238018732900551,0.76,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta1",0.055446420495,0.0696375525082597,0.0744466496537625,0.965,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta2",0.08554092275,0.0955414006970974,0.10644975521078,0.975,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta3",0.1050348719,0.124388193860348,0.132941389770138,0.955,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta4",0.14449979155,0.157294074461637,0.157605340966965,0.92,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta5",0.1707768112,0.188941917419874,0.195728494963224,0.93,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta6",0.047899871942645,0.05968671244761,0.0611922664529105,0.955,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta7",0.0487968778243276,0.0620408705062533,0.068617478528758,0.95,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta8",0.0516255997546895,0.0618344530756579,0.0614864957229402,0.955,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta9",0.045536297167987,0.0576454907003189,0.0815154176163448,0.995,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta10",0.0532780321796211,0.0662142275402744,0.0704877474623393,0.94,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta11",0.0443069834899045,0.0566871916547636,0.0728286806620977,0.99,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta12",0.0487973802849583,0.0605427983251749,0.07778057349625,0.98,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta13",0.0506132718547603,0.0656062568884209,0.07110551613787,0.975,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta14",0.0547583436539354,0.06853773577899,0.0686279340466862,0.935,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta15",0.0477917986886586,0.0603510685632968,0.0755375200778678,0.97,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta16",0.0481955267016466,0.0598950795454988,0.0777078943345597,0.98,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta17",0.0507704483599592,0.0636924461962212,0.0661482253005793,0.965,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta18",0.0477079248051699,0.0613311959210979,0.07368034672441,0.965,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta19",0.0498298514947111,0.0632162442498305,0.0737059525453614,0.975,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta20",0.0483626704771902,0.0611046906427779,0.0782437199359699,0.985,200
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"eta",0.3753160118605,0.40420406249498,0.243779872959249,0.725,200
