"setting","sigma2","rho","rep","method","seconds"
"sigma2=0.1,rho=0.4",0.1,0.4,142,"Proposed Method (ADVI)",1.91999999999996
"sigma2=0.1,rho=0.4",0.1,0.4,143,"Proposed Method (ADVI)",1.89399999999989
"sigma2=0.1,rho=0.4",0.1,0.4,144,"Proposed Method (ADVI)",1.88199999999995
"sigma2=0.1,rho=0.4",0.1,0.4,145,"Proposed Method (ADVI)",1.93000000000006
"sigma2=0.1,rho=0.4",0.1,0.4,146,"Proposed Method (ADVI)",1.89999999999998
"sigma2=0.1,rho=0.4",0.1,0.4,147,"Proposed Method (ADVI)",1.904
"sigma2=0.1,rho=0.4",0.1,0.4,148,"Proposed Method (ADVI)",1.904
"sigma2=0.1,rho=0.4",0.1,0.4,149,"Proposed Method (ADVI)",1.89399999999989
"sigma2=0.1,rho=0.4",0.1,0.4,150,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.1,rho=0.4",0.1,0.4,151,"Proposed Method (ADVI)",1.89099999999996
"sigma2=0.1,rho=0.4",0.1,0.4,152,"Proposed Method (ADVI)",1.88599999999997
"sigma2=0.1,rho=0.4",0.1,0.4,153,"Proposed Method (ADVI)",1.89799999999991
"sigma2=0.1,rho=0.4",0.1,0.4,154,"Proposed Method (ADVI)",1.92600000000004
"sigma2=0.1,rho=0.4",0.1,0.4,155,"Proposed Method (ADVI)",1.92099999999994
"sigma2=0.1,rho=0.4",0.1,0.4,156,"Proposed Method (ADVI)",1.88699999999994
"sigma2=0.1,rho=0.4",0.1,0.4,157,"Proposed Method (ADVI)",1.90300000000002
"sigma2=0.1,rho=0.4",0.1,0.4,158,"Proposed Method (ADVI)",1.89799999999991
"sigma2=0.1,rho=0.4",0.1,0.4,159,"Proposed Method (ADVI)",1.88700000000006
"sigma2=0.1,rho=0.4",0.1,0.4,160,"Proposed Method (ADVI)",1.88499999999999
"sigma2=0.1,rho=0.4",0.1,0.4,161,"Proposed Method (ADVI)",1.89800000000002
"sigma2=0.1,rho=0.4",0.1,0.4,162,"Proposed Method (ADVI)",1.96600000000001
"sigma2=0.1,rho=0.4",0.1,0.4,163,"Proposed Method (ADVI)",1.92999999999995
"sigma2=0.1,rho=0.4",0.1,0.4,164,"Proposed Method (ADVI)",1.89600000000007
"sigma2=0.1,rho=0.4",0.1,0.4,165,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.1,rho=0.4",0.1,0.4,166,"Proposed Method (ADVI)",1.92399999999998
"sigma2=0.1,rho=0.4",0.1,0.4,167,"Proposed Method (ADVI)",1.90299999999991
"sigma2=0.1,rho=0.4",0.1,0.4,168,"Proposed Method (ADVI)",1.92200000000003
"sigma2=0.1,rho=0.4",0.1,0.4,169,"Proposed Method (ADVI)",1.90100000000007
"sigma2=0.1,rho=0.4",0.1,0.4,170,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.1,rho=0.4",0.1,0.4,171,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.1,rho=0.4",0.1,0.4,172,"Proposed Method (ADVI)",1.89300000000003
"sigma2=0.1,rho=0.4",0.1,0.4,173,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.1,rho=0.4",0.1,0.4,174,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.1,rho=0.4",0.1,0.4,175,"Proposed Method (ADVI)",1.89199999999994
"sigma2=0.1,rho=0.4",0.1,0.4,176,"Proposed Method (ADVI)",1.89199999999994
"sigma2=0.1,rho=0.4",0.1,0.4,177,"Proposed Method (ADVI)",1.90099999999995
"sigma2=0.1,rho=0.4",0.1,0.4,178,"Proposed Method (ADVI)",1.90700000000004
"sigma2=0.1,rho=0.4",0.1,0.4,179,"Proposed Method (ADVI)",1.88999999999999
"sigma2=0.1,rho=0.4",0.1,0.4,180,"Proposed Method (ADVI)",1.91399999999999
"sigma2=0.1,rho=0.4",0.1,0.4,181,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.1,rho=0.4",0.1,0.4,182,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.1,rho=0.4",0.1,0.4,183,"Proposed Method (ADVI)",1.88400000000001
"sigma2=0.1,rho=0.4",0.1,0.4,184,"Proposed Method (ADVI)",1.88099999999997
"sigma2=0.1,rho=0.4",0.1,0.4,185,"Proposed Method (ADVI)",1.88799999999992
"sigma2=0.1,rho=0.4",0.1,0.4,186,"Proposed Method (ADVI)",1.92399999999998
"sigma2=0.1,rho=0.4",0.1,0.4,187,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.1,rho=0.4",0.1,0.4,188,"Proposed Method (ADVI)",1.91199999999992
"sigma2=0.1,rho=0.4",0.1,0.4,189,"Proposed Method (ADVI)",1.88700000000006
"sigma2=0.1,rho=0.4",0.1,0.4,190,"Proposed Method (ADVI)",1.89200000000005
"sigma2=0.1,rho=0.4",0.1,0.4,191,"Proposed Method (ADVI)",1.88499999999999
"sigma2=0.1,rho=0.4",0.1,0.4,192,"Proposed Method (ADVI)",1.88300000000004
"sigma2=0.1,rho=0.4",0.1,0.4,193,"Proposed Method (ADVI)",1.8950000000001
"sigma2=0.1,rho=0.4",0.1,0.4,194,"Proposed Method (ADVI)",1.88099999999997
"sigma2=0.1,rho=0.4",0.1,0.4,195,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.1,rho=0.4",0.1,0.4,196,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.1,rho=0.4",0.1,0.4,197,"Proposed Method (ADVI)",1.78900000000021
"sigma2=0.1,rho=0.4",0.1,0.4,198,"Proposed Method (ADVI)",1.90000000000009
"sigma2=0.1,rho=0.4",0.1,0.4,199,"Proposed Method (ADVI)",1.96699999999987
"sigma2=0.1,rho=0.4",0.1,0.4,200,"Proposed Method (ADVI)",1.94900000000007
"sigma2=0.4,rho=0.1",0.4,0.1,1,"Proposed Method (ADVI)",2.09799999999996
"sigma2=0.4,rho=0.1",0.4,0.1,2,"Proposed Method (ADVI)",1.8900000000001
"sigma2=0.4,rho=0.1",0.4,0.1,3,"Proposed Method (ADVI)",1.99299999999994
"sigma2=0.4,rho=0.1",0.4,0.1,4,"Proposed Method (ADVI)",1.94000000000005
"sigma2=0.4,rho=0.1",0.4,0.1,5,"Proposed Method (ADVI)",1.93999999999983
"sigma2=0.4,rho=0.1",0.4,0.1,6,"Proposed Method (ADVI)",2.01900000000001
"sigma2=0.4,rho=0.1",0.4,0.1,7,"Proposed Method (ADVI)",1.92100000000005
"sigma2=0.4,rho=0.1",0.4,0.1,8,"Proposed Method (ADVI)",1.94400000000019
"sigma2=0.4,rho=0.1",0.4,0.1,9,"Proposed Method (ADVI)",1.96100000000001
"sigma2=0.4,rho=0.1",0.4,0.1,10,"Proposed Method (ADVI)",1.91800000000012
"sigma2=0.4,rho=0.1",0.4,0.1,11,"Proposed Method (ADVI)",1.98000000000002
"sigma2=0.4,rho=0.1",0.4,0.1,12,"Proposed Method (ADVI)",1.98199999999997
"sigma2=0.4,rho=0.1",0.4,0.1,13,"Proposed Method (ADVI)",1.95399999999995
"sigma2=0.4,rho=0.1",0.4,0.1,14,"Proposed Method (ADVI)",1.89800000000014
"sigma2=0.4,rho=0.1",0.4,0.1,15,"Proposed Method (ADVI)",1.88800000000015
"sigma2=0.4,rho=0.1",0.4,0.1,16,"Proposed Method (ADVI)",1.9380000000001
"sigma2=0.4,rho=0.1",0.4,0.1,17,"Proposed Method (ADVI)",1.91399999999999
"sigma2=0.4,rho=0.1",0.4,0.1,18,"Proposed Method (ADVI)",1.89799999999991
"sigma2=0.4,rho=0.1",0.4,0.1,19,"Proposed Method (ADVI)",1.91799999999989
"sigma2=0.4,rho=0.1",0.4,0.1,20,"Proposed Method (ADVI)",1.93299999999999
"sigma2=0.4,rho=0.1",0.4,0.1,21,"Proposed Method (ADVI)",1.95100000000002
"sigma2=0.4,rho=0.1",0.4,0.1,22,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,23,"Proposed Method (ADVI)",1.8900000000001
"sigma2=0.4,rho=0.1",0.4,0.1,24,"Proposed Method (ADVI)",1.90800000000013
"sigma2=0.4,rho=0.1",0.4,0.1,25,"Proposed Method (ADVI)",1.90099999999984
"sigma2=0.4,rho=0.1",0.4,0.1,26,"Proposed Method (ADVI)",1.93399999999997
"sigma2=0.4,rho=0.1",0.4,0.1,27,"Proposed Method (ADVI)",1.8900000000001
"sigma2=0.4,rho=0.1",0.4,0.1,28,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.4,rho=0.1",0.4,0.1,29,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,30,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.4,rho=0.1",0.4,0.1,31,"Proposed Method (ADVI)",1.90000000000009
"sigma2=0.4,rho=0.1",0.4,0.1,32,"Proposed Method (ADVI)",1.9369999999999
"sigma2=0.4,rho=0.1",0.4,0.1,33,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.4,rho=0.1",0.4,0.1,34,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,35,"Proposed Method (ADVI)",1.91099999999983
"sigma2=0.4,rho=0.1",0.4,0.1,36,"Proposed Method (ADVI)",1.94700000000012
"sigma2=0.4,rho=0.1",0.4,0.1,37,"Proposed Method (ADVI)",1.88600000000019
"sigma2=0.4,rho=0.1",0.4,0.1,38,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.1",0.4,0.1,39,"Proposed Method (ADVI)",1.92800000000011
"sigma2=0.4,rho=0.1",0.4,0.1,40,"Proposed Method (ADVI)",1.91700000000014
"sigma2=0.4,rho=0.1",0.4,0.1,41,"Proposed Method (ADVI)",1.88499999999999
"sigma2=0.4,rho=0.1",0.4,0.1,42,"Proposed Method (ADVI)",1.89300000000003
"sigma2=0.4,rho=0.1",0.4,0.1,43,"Proposed Method (ADVI)",1.90900000000011
"sigma2=0.4,rho=0.1",0.4,0.1,44,"Proposed Method (ADVI)",1.88799999999992
"sigma2=0.4,rho=0.1",0.4,0.1,45,"Proposed Method (ADVI)",1.89900000000011
"sigma2=0.4,rho=0.1",0.4,0.1,46,"Proposed Method (ADVI)",1.88200000000006
"sigma2=0.4,rho=0.1",0.4,0.1,47,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,48,"Proposed Method (ADVI)",1.92800000000011
"sigma2=0.4,rho=0.1",0.4,0.1,49,"Proposed Method (ADVI)",1.92899999999986
"sigma2=0.4,rho=0.1",0.4,0.1,50,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,51,"Proposed Method (ADVI)",1.94999999999982
"sigma2=0.4,rho=0.1",0.4,0.1,52,"Proposed Method (ADVI)",1.98700000000008
"sigma2=0.4,rho=0.1",0.4,0.1,53,"Proposed Method (ADVI)",1.95400000000018
"sigma2=0.4,rho=0.1",0.4,0.1,54,"Proposed Method (ADVI)",1.93599999999992
"sigma2=0.4,rho=0.1",0.4,0.1,55,"Proposed Method (ADVI)",1.89600000000019
"sigma2=0.4,rho=0.1",0.4,0.1,56,"Proposed Method (ADVI)",1.89999999999986
"sigma2=0.4,rho=0.1",0.4,0.1,57,"Proposed Method (ADVI)",1.91100000000006
"sigma2=0.4,rho=0.1",0.4,0.1,58,"Proposed Method (ADVI)",1.99600000000009
"sigma2=0.4,rho=0.1",0.4,0.1,59,"Proposed Method (ADVI)",1.92800000000011
"sigma2=0.4,rho=0.1",0.4,0.1,60,"Proposed Method (ADVI)",1.89900000000011
"sigma2=0.4,rho=0.1",0.4,0.1,61,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,62,"Proposed Method (ADVI)",1.92799999999988
"sigma2=0.4,rho=0.1",0.4,0.1,63,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,64,"Proposed Method (ADVI)",1.92799999999988
"sigma2=0.4,rho=0.1",0.4,0.1,65,"Proposed Method (ADVI)",1.89999999999986
"sigma2=0.4,rho=0.1",0.4,0.1,66,"Proposed Method (ADVI)",1.92400000000021
"sigma2=0.4,rho=0.1",0.4,0.1,67,"Proposed Method (ADVI)",1.90800000000013
"sigma2=0.4,rho=0.1",0.4,0.1,68,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,69,"Proposed Method (ADVI)",1.89699999999993
"sigma2=0.4,rho=0.1",0.4,0.1,70,"Proposed Method (ADVI)",1.90900000000011
"sigma2=0.4,rho=0.1",0.4,0.1,71,"Proposed Method (ADVI)",1.93200000000002
"sigma2=0.4,rho=0.1",0.4,0.1,72,"Proposed Method (ADVI)",1.89600000000019
"sigma2=0.4,rho=0.1",0.4,0.1,73,"Proposed Method (ADVI)",1.90000000000009
"sigma2=0.4,rho=0.1",0.4,0.1,74,"Proposed Method (ADVI)",1.9050000000002
"sigma2=0.4,rho=0.1",0.4,0.1,75,"Proposed Method (ADVI)",1.91100000000006
"sigma2=0.4,rho=0.1",0.4,0.1,76,"Proposed Method (ADVI)",1.96500000000015
"sigma2=0.4,rho=0.1",0.4,0.1,77,"Proposed Method (ADVI)",1.97000000000003
"sigma2=0.4,rho=0.1",0.4,0.1,78,"Proposed Method (ADVI)",1.91800000000012
"sigma2=0.4,rho=0.1",0.4,0.1,79,"Proposed Method (ADVI)",1.8900000000001
"sigma2=0.4,rho=0.1",0.4,0.1,80,"Proposed Method (ADVI)",1.93900000000008
"sigma2=0.4,rho=0.1",0.4,0.1,81,"Proposed Method (ADVI)",1.89999999999986
"sigma2=0.4,rho=0.1",0.4,0.1,82,"Proposed Method (ADVI)",1.90699999999993
"sigma2=0.4,rho=0.1",0.4,0.1,83,"Proposed Method (ADVI)",1.90299999999979
"sigma2=0.4,rho=0.1",0.4,0.1,84,"Proposed Method (ADVI)",1.91899999999987
"sigma2=0.4,rho=0.1",0.4,0.1,85,"Proposed Method (ADVI)",1.90099999999984
"sigma2=0.4,rho=0.1",0.4,0.1,86,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.4,rho=0.1",0.4,0.1,87,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.1",0.4,0.1,88,"Proposed Method (ADVI)",1.89899999999989
"sigma2=0.4,rho=0.1",0.4,0.1,89,"Proposed Method (ADVI)",1.89500000000021
"sigma2=0.4,rho=0.1",0.4,0.1,90,"Proposed Method (ADVI)",1.89300000000003
"sigma2=0.4,rho=0.1",0.4,0.1,91,"Proposed Method (ADVI)",1.89699999999993
"sigma2=0.4,rho=0.1",0.4,0.1,92,"Proposed Method (ADVI)",1.90300000000002
"sigma2=0.4,rho=0.1",0.4,0.1,93,"Proposed Method (ADVI)",1.89300000000003
"sigma2=0.4,rho=0.1",0.4,0.1,94,"Proposed Method (ADVI)",1.88599999999997
"sigma2=0.4,rho=0.1",0.4,0.1,95,"Proposed Method (ADVI)",2.02599999999984
"sigma2=0.4,rho=0.1",0.4,0.1,96,"Proposed Method (ADVI)",1.89499999999998
"sigma2=0.4,rho=0.1",0.4,0.1,97,"Proposed Method (ADVI)",2.00799999999981
"sigma2=0.4,rho=0.1",0.4,0.1,98,"Proposed Method (ADVI)",1.89799999999991
"sigma2=0.4,rho=0.1",0.4,0.1,99,"Proposed Method (ADVI)",1.9219999999998
"sigma2=0.4,rho=0.1",0.4,0.1,100,"Proposed Method (ADVI)",1.89200000000005
"sigma2=0.4,rho=0.1",0.4,0.1,101,"Proposed Method (ADVI)",1.94800000000009
"sigma2=0.4,rho=0.1",0.4,0.1,102,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,103,"Proposed Method (ADVI)",1.904
"sigma2=0.4,rho=0.1",0.4,0.1,104,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.1",0.4,0.1,105,"Proposed Method (ADVI)",1.95000000000005
"sigma2=0.4,rho=0.1",0.4,0.1,106,"Proposed Method (ADVI)",1.91100000000006
"sigma2=0.4,rho=0.1",0.4,0.1,107,"Proposed Method (ADVI)",1.92500000000018
"sigma2=0.4,rho=0.1",0.4,0.1,108,"Proposed Method (ADVI)",1.89799999999991
"sigma2=0.4,rho=0.1",0.4,0.1,109,"Proposed Method (ADVI)",1.93899999999985
"sigma2=0.4,rho=0.1",0.4,0.1,110,"Proposed Method (ADVI)",1.90299999999979
"sigma2=0.4,rho=0.1",0.4,0.1,111,"Proposed Method (ADVI)",1.904
"sigma2=0.4,rho=0.1",0.4,0.1,112,"Proposed Method (ADVI)",1.92800000000011
"sigma2=0.4,rho=0.1",0.4,0.1,113,"Proposed Method (ADVI)",1.93299999999999
"sigma2=0.4,rho=0.1",0.4,0.1,114,"Proposed Method (ADVI)",1.99600000000009
"sigma2=0.4,rho=0.1",0.4,0.1,115,"Proposed Method (ADVI)",1.93799999999987
"sigma2=0.4,rho=0.1",0.4,0.1,116,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.4,rho=0.1",0.4,0.1,117,"Proposed Method (ADVI)",1.92399999999998
"sigma2=0.4,rho=0.1",0.4,0.1,118,"Proposed Method (ADVI)",1.92000000000007
"sigma2=0.4,rho=0.1",0.4,0.1,119,"Proposed Method (ADVI)",1.92899999999986
"sigma2=0.4,rho=0.1",0.4,0.1,120,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,121,"Proposed Method (ADVI)",1.96000000000004
"sigma2=0.4,rho=0.1",0.4,0.1,122,"Proposed Method (ADVI)",1.90300000000002
"sigma2=0.4,rho=0.1",0.4,0.1,123,"Proposed Method (ADVI)",1.90000000000009
"sigma2=0.4,rho=0.1",0.4,0.1,124,"Proposed Method (ADVI)",1.89200000000005
"sigma2=0.4,rho=0.1",0.4,0.1,125,"Proposed Method (ADVI)",1.97199999999998
"sigma2=0.4,rho=0.1",0.4,0.1,126,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.1",0.4,0.1,127,"Proposed Method (ADVI)",1.93199999999979
"sigma2=0.4,rho=0.1",0.4,0.1,128,"Proposed Method (ADVI)",1.99700000000007
"sigma2=0.4,rho=0.1",0.4,0.1,129,"Proposed Method (ADVI)",1.92499999999995
"sigma2=0.4,rho=0.1",0.4,0.1,130,"Proposed Method (ADVI)",1.91300000000001
"sigma2=0.4,rho=0.1",0.4,0.1,131,"Proposed Method (ADVI)",1.90100000000007
"sigma2=0.4,rho=0.1",0.4,0.1,132,"Proposed Method (ADVI)",1.92699999999991
"sigma2=0.4,rho=0.1",0.4,0.1,133,"Proposed Method (ADVI)",1.95999999999981
"sigma2=0.4,rho=0.1",0.4,0.1,134,"Proposed Method (ADVI)",1.93399999999997
"sigma2=0.4,rho=0.1",0.4,0.1,135,"Proposed Method (ADVI)",1.91999999999985
"sigma2=0.4,rho=0.1",0.4,0.1,136,"Proposed Method (ADVI)",1.93499999999995
"sigma2=0.4,rho=0.1",0.4,0.1,137,"Proposed Method (ADVI)",1.89300000000003
"sigma2=0.4,rho=0.1",0.4,0.1,138,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.1",0.4,0.1,139,"Proposed Method (ADVI)",1.90599999999995
"sigma2=0.4,rho=0.1",0.4,0.1,140,"Proposed Method (ADVI)",1.91000000000008
"sigma2=0.4,rho=0.1",0.4,0.1,141,"Proposed Method (ADVI)",1.89400000000001
"sigma2=0.4,rho=0.1",0.4,0.1,142,"Proposed Method (ADVI)",1.93700000000013
"sigma2=0.4,rho=0.1",0.4,0.1,143,"Proposed Method (ADVI)",1.91999999999985
"sigma2=0.4,rho=0.1",0.4,0.1,144,"Proposed Method (ADVI)",1.93599999999992
"sigma2=0.4,rho=0.1",0.4,0.1,145,"Proposed Method (ADVI)",1.93099999999981
"sigma2=0.4,rho=0.1",0.4,0.1,146,"Proposed Method (ADVI)",1.90099999999984
"sigma2=0.4,rho=0.1",0.4,0.1,147,"Proposed Method (ADVI)",1.9079999999999
"sigma2=0.4,rho=0.1",0.4,0.1,148,"Proposed Method (ADVI)",1.93000000000006
"sigma2=0.4,rho=0.1",0.4,0.1,149,"Proposed Method (ADVI)",1.89999999999986
"sigma2=0.4,rho=0.1",0.4,0.1,150,"Proposed Method (ADVI)",1.91499999999996
"sigma2=0.4,rho=0.1",0.4,0.1,151,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.1",0.4,0.1,152,"Proposed Method (ADVI)",1.90100000000007
"sigma2=0.4,rho=0.1",0.4,0.1,153,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.4,rho=0.1",0.4,0.1,154,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,155,"Proposed Method (ADVI)",1.93700000000013
"sigma2=0.4,rho=0.1",0.4,0.1,156,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,157,"Proposed Method (ADVI)",1.904
"sigma2=0.4,rho=0.1",0.4,0.1,158,"Proposed Method (ADVI)",1.89599999999996
"sigma2=0.4,rho=0.1",0.4,0.1,159,"Proposed Method (ADVI)",1.90199999999982
"sigma2=0.4,rho=0.1",0.4,0.1,160,"Proposed Method (ADVI)",1.92899999999986
"sigma2=0.4,rho=0.1",0.4,0.1,161,"Proposed Method (ADVI)",1.89899999999989
"sigma2=0.4,rho=0.1",0.4,0.1,162,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.1",0.4,0.1,163,"Proposed Method (ADVI)",1.93599999999992
"sigma2=0.4,rho=0.1",0.4,0.1,164,"Proposed Method (ADVI)",1.92600000000016
"sigma2=0.4,rho=0.1",0.4,0.1,165,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.1",0.4,0.1,166,"Proposed Method (ADVI)",1.9380000000001
"sigma2=0.4,rho=0.1",0.4,0.1,167,"Proposed Method (ADVI)",1.92499999999995
"sigma2=0.4,rho=0.1",0.4,0.1,168,"Proposed Method (ADVI)",1.91200000000003
"sigma2=0.4,rho=0.1",0.4,0.1,169,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.1",0.4,0.1,170,"Proposed Method (ADVI)",1.90699999999993
"sigma2=0.4,rho=0.1",0.4,0.1,171,"Proposed Method (ADVI)",1.89800000000014
"sigma2=0.4,rho=0.1",0.4,0.1,172,"Proposed Method (ADVI)",1.90300000000002
"sigma2=0.4,rho=0.1",0.4,0.1,173,"Proposed Method (ADVI)",1.923
"sigma2=0.4,rho=0.1",0.4,0.1,174,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.1",0.4,0.1,175,"Proposed Method (ADVI)",1.92200000000003
"sigma2=0.4,rho=0.1",0.4,0.1,176,"Proposed Method (ADVI)",1.92000000000007
"sigma2=0.4,rho=0.1",0.4,0.1,177,"Proposed Method (ADVI)",1.91799999999989
"sigma2=0.4,rho=0.1",0.4,0.1,178,"Proposed Method (ADVI)",1.92000000000007
"sigma2=0.4,rho=0.1",0.4,0.1,179,"Proposed Method (ADVI)",1.90800000000013
"sigma2=0.4,rho=0.1",0.4,0.1,180,"Proposed Method (ADVI)",1.90099999999984
"sigma2=0.4,rho=0.1",0.4,0.1,181,"Proposed Method (ADVI)",1.92400000000021
"sigma2=0.4,rho=0.1",0.4,0.1,182,"Proposed Method (ADVI)",1.91300000000001
"sigma2=0.4,rho=0.1",0.4,0.1,183,"Proposed Method (ADVI)",1.90599999999995
"sigma2=0.4,rho=0.1",0.4,0.1,184,"Proposed Method (ADVI)",1.94699999999989
"sigma2=0.4,rho=0.1",0.4,0.1,185,"Proposed Method (ADVI)",1.91899999999987
"sigma2=0.4,rho=0.1",0.4,0.1,186,"Proposed Method (ADVI)",1.95899999999983
"sigma2=0.4,rho=0.1",0.4,0.1,187,"Proposed Method (ADVI)",1.94499999999994
"sigma2=0.4,rho=0.1",0.4,0.1,188,"Proposed Method (ADVI)",1.93299999999999
"sigma2=0.4,rho=0.1",0.4,0.1,189,"Proposed Method (ADVI)",1.96900000000005
"sigma2=0.4,rho=0.1",0.4,0.1,190,"Proposed Method (ADVI)",1.95100000000002
"sigma2=0.4,rho=0.1",0.4,0.1,191,"Proposed Method (ADVI)",1.97299999999996
"sigma2=0.4,rho=0.1",0.4,0.1,192,"Proposed Method (ADVI)",2.02400000000011
"sigma2=0.4,rho=0.1",0.4,0.1,193,"Proposed Method (ADVI)",1.91300000000001
"sigma2=0.4,rho=0.1",0.4,0.1,194,"Proposed Method (ADVI)",1.92000000000007
"sigma2=0.4,rho=0.1",0.4,0.1,195,"Proposed Method (ADVI)",1.93299999999999
"sigma2=0.4,rho=0.1",0.4,0.1,196,"Proposed Method (ADVI)",1.91599999999994
"sigma2=0.4,rho=0.1",0.4,0.1,197,"Proposed Method (ADVI)",1.91799999999989
"sigma2=0.4,rho=0.1",0.4,0.1,198,"Proposed Method (ADVI)",1.93700000000013
"sigma2=0.4,rho=0.1",0.4,0.1,199,"Proposed Method (ADVI)",1.9380000000001
"sigma2=0.4,rho=0.1",0.4,0.1,200,"Proposed Method (ADVI)",1.90800000000013
"sigma2=0.4,rho=0.4",0.4,0.4,1,"Proposed Method (ADVI)",1.91599999999994
"sigma2=0.4,rho=0.4",0.4,0.4,2,"Proposed Method (ADVI)",1.93299999999999
"sigma2=0.4,rho=0.4",0.4,0.4,3,"Proposed Method (ADVI)",1.90800000000013
"sigma2=0.4,rho=0.4",0.4,0.4,4,"Proposed Method (ADVI)",1.93100000000004
"sigma2=0.4,rho=0.4",0.4,0.4,5,"Proposed Method (ADVI)",1.92099999999982
"sigma2=0.4,rho=0.4",0.4,0.4,6,"Proposed Method (ADVI)",1.93900000000008
"sigma2=0.4,rho=0.4",0.4,0.4,7,"Proposed Method (ADVI)",1.92699999999991
"sigma2=0.4,rho=0.4",0.4,0.4,8,"Proposed Method (ADVI)",1.90200000000004
"sigma2=0.4,rho=0.4",0.4,0.4,9,"Proposed Method (ADVI)",1.90300000000002
"sigma2=0.4,rho=0.4",0.4,0.4,10,"Proposed Method (ADVI)",1.92799999999988
"sigma2=0.4,rho=0.4",0.4,0.4,11,"Proposed Method (ADVI)",1.91699999999992
"sigma2=0.4,rho=0.4",0.4,0.4,12,"Proposed Method (ADVI)",1.90499999999997
"sigma2=0.4,rho=0.4",0.4,0.4,13,"Proposed Method (ADVI)",1.91200000000003
"sigma2=0.4,rho=0.4",0.4,0.4,14,"Proposed Method (ADVI)",1.93700000000013
"sigma2=0.4,rho=0.4",0.4,0.4,15,"Proposed Method (ADVI)",2.048
"sigma2=0.4,rho=0.4",0.4,0.4,16,"Proposed Method (ADVI)",1.98800000000006
"sigma2=0.4,rho=0.4",0.4,0.4,17,"Proposed Method (ADVI)",1.93900000000008
"sigma2=0.4,rho=0.4",0.4,0.4,18,"Proposed Method (ADVI)",1.93200000000002
"sigma2=0.4,rho=0.4",0.4,0.4,19,"Proposed Method (ADVI)",1.93700000000013
"sigma2=0.4,rho=0.4",0.4,0.4,20,"Proposed Method (ADVI)",1.92100000000005
"sigma2=0.4,rho=0.4",0.4,0.4,21,"Proposed Method (ADVI)",1.91000000000008
"sigma2=0.4,rho=0.4",0.4,0.4,22,"Proposed Method (ADVI)",1.923
"sigma2=0.4,rho=0.4",0.4,0.4,23,"Proposed Method (ADVI)",1.94599999999991
"sigma2=0.4,rho=0.4",0.4,0.4,24,"Proposed Method (ADVI)",1.94200000000001
"sigma2=0.4,rho=0.4",0.4,0.4,25,"Proposed Method (ADVI)",1.89999999999986
"sigma2=0.4,rho=0.4",0.4,0.4,26,"Proposed Method (ADVI)",1.93599999999992
