"eta_true","rep","model","intercept","eta_hat","abs_bias","disease_rate"
0.4,1,"no_intercept",NA,0.455648051105402,0.0556480511054018,0.505555555555556
0.4,1,"with_intercept",-0.183547140075426,0.739491491118837,0.339491491118837,0.505555555555556
0.4,2,"no_intercept",NA,0.365555650677631,0.0344443493223693,0.487777777777778
0.4,2,"with_intercept",0.200436102742559,0.0347073260754493,0.365292673924551,0.487777777777778
0.4,3,"no_intercept",NA,0.86777384186481,0.46777384186481,0.481111111111111
0.4,3,"with_intercept",-0.372001888077278,1.47979743959235,1.07979743959235,0.481111111111111
0.4,4,"no_intercept",NA,0.112149135760979,0.287850864239021,0.516666666666667
0.4,4,"with_intercept",0.258273709469776,-0.298262319500522,0.698262319500522,0.516666666666667
0.4,5,"no_intercept",NA,0.459486456521076,0.0594864565210763,0.522222222222222
0.4,5,"with_intercept",0.312839039352221,-0.0406915011568655,0.440691501156866,0.522222222222222
0.4,6,"no_intercept",NA,0.454887923228575,0.054887923228575,0.521111111111111
0.4,6,"with_intercept",-0.212308344808979,0.784798222430879,0.384798222430879,0.521111111111111
0.4,7,"no_intercept",NA,0.973366991102803,0.573366991102803,0.534444444444444
0.4,7,"with_intercept",-0.190205579587496,1.25346686869178,0.853466868691785,0.534444444444444
0.4,8,"no_intercept",NA,-0.144133365557362,0.544133365557362,0.485555555555556
0.4,8,"with_intercept",-0.486642942252807,0.64459167021998,0.24459167021998,0.485555555555556
0.4,9,"no_intercept",NA,0.415679906690353,0.0156799066903525,0.512222222222222
0.4,9,"with_intercept",-0.680514594342934,1.48162689948856,1.08162689948856,0.512222222222222
0.4,10,"no_intercept",NA,0.495466536414649,0.0954665364146494,0.518888888888889
0.4,10,"with_intercept",-0.0126923192328616,0.515864956910367,0.115864956910367,0.518888888888889
0.4,11,"no_intercept",NA,0.0354143355449062,0.364585664455094,0.491111111111111
0.4,11,"with_intercept",-0.117378916042489,0.226340386846871,0.173659613153129,0.491111111111111
0.4,12,"no_intercept",NA,0.401834517574014,0.00183451757401348,0.497777777777778
0.4,12,"with_intercept",-0.102070591724982,0.567500046560404,0.167500046560404,0.497777777777778
0.4,13,"no_intercept",NA,0.359340830388984,0.0406591696110161,0.506666666666667
0.4,13,"with_intercept",-0.172500441202697,0.643579312196029,0.243579312196029,0.506666666666667
0.4,14,"no_intercept",NA,0.364115407782732,0.0358845922172683,0.541111111111111
0.4,14,"with_intercept",-0.0937169622616895,0.505886405151754,0.105886405151754,0.541111111111111
0.4,15,"no_intercept",NA,0.226093631542843,0.173906368457157,0.525555555555556
0.4,15,"with_intercept",-0.355773548310447,0.775342342133386,0.375342342133386,0.525555555555556
0.4,16,"no_intercept",NA,0.176135452573223,0.223864547426777,0.501111111111111
0.4,16,"with_intercept",0.196558191406698,-0.144819559373274,0.544819559373274,0.501111111111111
0.4,17,"no_intercept",NA,0.552782115645598,0.152782115645598,0.525555555555556
0.4,17,"with_intercept",0.0449261115204204,0.486038820804949,0.0860388208049487,0.525555555555556
0.4,18,"no_intercept",NA,-0.224098301540734,0.624098301540734,0.485555555555556
0.4,18,"with_intercept",-0.088111899719981,-0.0853006255487863,0.485300625548786,0.485555555555556
0.4,19,"no_intercept",NA,0.308546691305242,0.0914533086947575,0.5
0.4,19,"with_intercept",0.476159407793394,-0.453268137403997,0.853268137403997,0.5
0.4,20,"no_intercept",NA,0.389497933164142,0.0105020668358578,0.514444444444444
0.4,20,"with_intercept",0.273292837725317,-0.0441684291412319,0.444168429141232,0.514444444444444
0.4,21,"no_intercept",NA,0.402210416004257,0.00221041600425748,0.526666666666667
0.4,21,"with_intercept",0.232029309314157,0.046357281044452,0.353642718955548,0.526666666666667
0.4,22,"no_intercept",NA,0.204035633698159,0.195964366301841,0.48
0.4,22,"with_intercept",0.0703273545912754,0.0913079615276693,0.308692038472331,0.48
0.4,23,"no_intercept",NA,0.883604677860407,0.483604677860407,0.493333333333333
0.4,23,"with_intercept",-0.0949778947863849,1.03637670683868,0.636376706838682,0.493333333333333
0.4,24,"no_intercept",NA,0.0702995512539816,0.329700448746018,0.498888888888889
0.4,24,"with_intercept",0.496883499604874,-0.71752545248288,1.11752545248288,0.498888888888889
0.4,25,"no_intercept",NA,1.08493976749814,0.684939767498139,0.522222222222222
0.4,25,"with_intercept",-0.182097296337468,1.35735811177769,0.957358111777688,0.522222222222222
0.4,26,"no_intercept",NA,0.200449864202602,0.199550135797398,0.51
0.4,26,"with_intercept",0.195042244256647,-0.0990182014487795,0.49901820144878,0.51
0.4,27,"no_intercept",NA,0.488821410641022,0.0888214106410222,0.507777777777778
0.4,27,"with_intercept",-0.117726230886305,0.67680326568073,0.27680326568073,0.507777777777778
0.4,28,"no_intercept",NA,0.668649328766775,0.268649328766775,0.511111111111111
0.4,28,"with_intercept",-0.273122265103164,1.0803293158827,0.680329315882704,0.511111111111111
0.4,29,"no_intercept",NA,0.673102187048033,0.273102187048033,0.514444444444444
0.4,29,"with_intercept",-0.286784691081277,1.12010515857624,0.720105158576236,0.514444444444444
0.4,30,"no_intercept",NA,0.0719642307565243,0.328035769243476,0.494444444444444
0.4,30,"with_intercept",-0.33940127964323,0.614970841115867,0.214970841115867,0.494444444444444
0.4,31,"no_intercept",NA,-0.0818350525071672,0.481835052507167,0.516666666666667
0.4,31,"with_intercept",0.299882038279235,-0.555847167627419,0.955847167627419,0.516666666666667
0.4,32,"no_intercept",NA,0.935617594504591,0.535617594504591,0.514444444444444
0.4,32,"with_intercept",-0.596443156973821,1.90522911083299,1.50522911083299,0.514444444444444
0.4,33,"no_intercept",NA,0.824962898108321,0.424962898108321,0.511111111111111
0.4,33,"with_intercept",-0.764579736139543,2.0404007234452,1.6404007234452,0.511111111111111
0.4,34,"no_intercept",NA,0.480278944336679,0.0802789443366792,0.521111111111111
0.4,34,"with_intercept",-0.103229003545701,0.640117092614701,0.240117092614701,0.521111111111111
0.4,35,"no_intercept",NA,1.02059164265489,0.620591642654889,0.534444444444444
0.4,35,"with_intercept",-0.31643993150715,1.52565571940121,1.12565571940121,0.534444444444444
0.4,36,"no_intercept",NA,0.251314689008885,0.148685310991115,0.515555555555556
0.4,36,"with_intercept",1.1016609951915,-1.4250494031553,1.8250494031553,0.515555555555556
0.4,37,"no_intercept",NA,0.314376530195861,0.0856234698041389,0.515555555555556
0.4,37,"with_intercept",0.0759043481989507,0.197913983026694,0.202086016973306,0.515555555555556
0.4,38,"no_intercept",NA,1.24101043002054,0.84101043002054,0.547777777777778
0.4,38,"with_intercept",-0.652671738227364,2.24563950427553,1.84563950427553,0.547777777777778
0.4,39,"no_intercept",NA,0.309808374547239,0.0901916254527609,0.515555555555556
0.4,39,"with_intercept",0.246358251234631,-0.0708436220634827,0.470843622063483,0.515555555555556
0.4,40,"no_intercept",NA,0.645657769235752,0.245657769235752,0.518888888888889
0.4,40,"with_intercept",0.283781671227451,0.201348664819941,0.198651335180059,0.518888888888889
