"eta_setting","rep","method","seconds"
0.4,1,"Naive Method (ADVI)",19.681
0.4,1,"Proposed Method (ADVI)",19.036
0.4,2,"Naive Method (ADVI)",0.214999999999996
0.4,2,"Proposed Method (ADVI)",0.234999999999999
0.4,3,"Naive Method (ADVI)",0.200000000000003
0.4,3,"Proposed Method (ADVI)",0.228999999999999
0.4,4,"Naive Method (ADVI)",0.216000000000001
0.4,4,"Proposed Method (ADVI)",0.239999999999995
0.4,5,"Naive Method (ADVI)",0.198
0.4,5,"Proposed Method (ADVI)",0.231000000000002
0.4,6,"Naive Method (ADVI)",0.201
0.4,6,"Proposed Method (ADVI)",0.230000000000004
0.4,7,"Naive Method (ADVI)",0.213999999999999
0.4,7,"Proposed Method (ADVI)",0.229999999999997
0.4,8,"Naive Method (ADVI)",0.215000000000003
0.4,8,"Proposed Method (ADVI)",0.229999999999997
0.4,9,"Naive Method (ADVI)",0.198
0.4,9,"Proposed Method (ADVI)",0.230000000000004
0.4,10,"Naive Method (ADVI)",0.211999999999996
0.4,10,"Proposed Method (ADVI)",0.229999999999997
1.6,1,"Naive Method (ADVI)",0.213000000000001
1.6,1,"Proposed Method (ADVI)",0.228999999999999
1.6,2,"Naive Method (ADVI)",0.201
1.6,2,"Proposed Method (ADVI)",0.229000000000006
1.6,3,"Naive Method (ADVI)",0.213999999999999
1.6,3,"Proposed Method (ADVI)",0.230000000000004
1.6,4,"Naive Method (ADVI)",0.198
1.6,4,"Proposed Method (ADVI)",0.228000000000002
1.6,5,"Naive Method (ADVI)",0.214999999999996
1.6,5,"Proposed Method (ADVI)",0.230000000000004
1.6,6,"Naive Method (ADVI)",0.216000000000001
1.6,6,"Proposed Method (ADVI)",0.230000000000004
1.6,7,"Naive Method (ADVI)",0.199999999999996
1.6,7,"Proposed Method (ADVI)",0.229999999999997
1.6,8,"Naive Method (ADVI)",0.199999999999996
1.6,8,"Proposed Method (ADVI)",0.231000000000002
1.6,9,"Naive Method (ADVI)",0.198
1.6,9,"Proposed Method (ADVI)",0.229999999999997
1.6,10,"Naive Method (ADVI)",0.201
1.6,10,"Proposed Method (ADVI)",0.231000000000002
2.8,1,"Naive Method (ADVI)",0.213999999999999
2.8,1,"Proposed Method (ADVI)",0.229999999999997
2.8,2,"Naive Method (ADVI)",0.215000000000003
2.8,2,"Proposed Method (ADVI)",0.230000000000004
2.8,3,"Naive Method (ADVI)",0.199999999999996
2.8,3,"Proposed Method (ADVI)",0.230999999999995
2.8,4,"Naive Method (ADVI)",0.215000000000003
2.8,4,"Proposed Method (ADVI)",0.230000000000004
2.8,5,"Naive Method (ADVI)",0.212999999999994
2.8,5,"Proposed Method (ADVI)",0.229999999999997
2.8,6,"Naive Method (ADVI)",0.213999999999999
2.8,6,"Proposed Method (ADVI)",0.229999999999997
2.8,7,"Naive Method (ADVI)",0.213999999999999
2.8,7,"Proposed Method (ADVI)",0.229999999999997
2.8,8,"Naive Method (ADVI)",0.200000000000003
2.8,8,"Proposed Method (ADVI)",0.231000000000002
2.8,9,"Naive Method (ADVI)",0.214999999999996
2.8,9,"Proposed Method (ADVI)",0.228000000000002
2.8,10,"Naive Method (ADVI)",0.213999999999999
2.8,10,"Proposed Method (ADVI)",0.229999999999997
