"sigma2","rho","algorithm","rep","eta_mean","posterior_sd","stan_mcse","draw_mcse","n_draws","q025","q975","abs_bias","covered","seconds"
0.4,0.4,"meanfield",7,1.38828988,0.11053832389554,NA,0.00349552872247322,1000,1.18122275,1.60848925,0.21171012,TRUE,1.578
0.4,0.4,"meanfield",8,1.171411103,0.105734228556172,NA,0.0033436098887832,1000,0.979681275,1.3905355,0.428588897,FALSE,1.57300000000001
0.4,0.4,"meanfield",9,2.05522669,0.0978095645366993,NA,0.00309301000885202,1000,1.86663475,2.24066175,0.45522669,FALSE,1.577
0.4,0.4,"meanfield",10,1.55996503,0.0980747292747802,NA,0.00310139525412699,1000,1.379053,1.7594545,0.04003497,TRUE,1.596
0.1,0.1,"fullrank",1,5.363462607,1.65024137035767,NA,0.0521852141936771,1000,1.97515125,7.68184975,3.763462607,FALSE,1.815
0.1,0.1,"fullrank",2,1.349350191,0.227020170255935,NA,0.00717900812807965,1000,0.939997,1.84220625,0.250649809,TRUE,1.744
0.1,0.1,"fullrank",3,1.569999471,0.248204823398058,NA,0.00784892568177717,1000,1.1487085,2.0804915,0.0300005290000001,TRUE,1.80100000000002
0.1,0.1,"fullrank",4,1.451207244,0.249587020593927,NA,0.00789263459492161,1000,1.01257325,1.959189,0.148792756,TRUE,1.761
0.1,0.1,"fullrank",5,2.21311498,0.260095285788668,NA,0.00822493511764616,1000,1.74691575,2.777694,0.61311498,FALSE,1.74100000000001
0.1,0.1,"fullrank",6,1.427440722,0.243758599228192,NA,0.00770832372813249,1000,0.988296425,1.9025745,0.172559278,TRUE,1.73400000000001
0.1,0.1,"fullrank",7,1.82538047,0.238541824693716,NA,0.00754335483244739,1000,1.40446725,2.308859,0.22538047,TRUE,1.726
0.1,0.1,"fullrank",8,1.813983994,0.372279227331755,NA,0.0117725028393595,1000,1.17046025,2.56398925,0.213983994,TRUE,1.756
0.1,0.1,"fullrank",9,1.889752,0.265625898165401,NA,0.0083998284373061,1000,1.44192275,2.43020475,0.289752,TRUE,1.733
0.1,0.1,"fullrank",10,1.94130771,0.278803638348592,NA,0.00881654517123415,1000,1.44305975,2.52690025,0.34130771,TRUE,1.756
0.1,0.4,"fullrank",1,1.376773115,0.255200788311417,NA,0.00807015751734553,1000,0.938664275,1.9698315,0.223226885,TRUE,1.74499999999998
0.1,0.4,"fullrank",2,1.82136325,0.263935938173635,NA,0.0083463872100207,1000,1.3379415,2.37370425,0.22136325,TRUE,1.78799999999998
0.1,0.4,"fullrank",3,2.02904996,0.2803929064302,NA,0.00886680224073904,1000,1.5289765,2.6445005,0.42904996,TRUE,1.75
0.1,0.4,"fullrank",4,1.87860202,0.258346511263849,NA,0.00816963401152107,1000,1.4011325,2.42670825,0.27860202,TRUE,1.75699999999998
0.1,0.4,"fullrank",5,1.548958712,0.232265514793202,NA,0.00734488048658051,1000,1.12389525,2.016306,0.0510412880000002,TRUE,1.73699999999999
0.1,0.4,"fullrank",6,1.347396465,0.234024321244269,NA,0.00740049883006819,1000,0.924210775,1.83344,0.252603535,TRUE,1.81899999999999
0.1,0.4,"fullrank",7,1.2559109,0.246621446944987,NA,0.00779885492192535,1000,0.82288055,1.80173525,0.3440891,TRUE,1.79300000000001
0.1,0.4,"fullrank",8,2.147348156,0.392401678647915,NA,0.0124088306220087,1000,1.4207665,2.950542,0.547348156,TRUE,1.78800000000001
0.1,0.4,"fullrank",9,1.63389838,0.281808614824407,NA,0.00891157087102217,1000,1.151523,2.23928175,0.0338983799999999,TRUE,1.74600000000001
0.1,0.4,"fullrank",10,1.74403297,0.250291425485474,NA,0.00791490983344414,1000,1.3067515,2.2667455,0.14403297,TRUE,1.726
