"method","setting","sigma2","rho","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta12",0,0.102683204923,0.0834169259860194,-0.0665161375,0.2580113,0.102683204923,0.102683204923,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta13",0,-0.0382693781473,0.0660756837404691,-0.169300775,0.0914697449999999,-0.0382693781473,0.0382693781473,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta14",0,-0.02055032873758,0.0661530992363508,-0.1472422,0.106251825,-0.02055032873758,0.02055032873758,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta15",0,-0.057252012833,0.0841437438433249,-0.214395,0.11371915,-0.057252012833,0.057252012833,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta16",0,0.063175736697,0.0765472093023996,-0.0936203675,0.20848385,0.063175736697,0.063175736697,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta17",0,-0.020079993095,0.0684605544545556,-0.154017375,0.114952075,-0.020079993095,0.020079993095,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta18",0,-0.1184794877149,0.0677838591045666,-0.25214175,0.0117649524999998,-0.1184794877149,0.1184794877149,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta19",0,0.120852815622,0.0718477868793019,-0.016045275,0.257434675,0.120852815622,0.120852815622,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"beta20",0,0.06167595232,0.0752077941520102,-0.0886459525,0.20136715,0.06167595232,0.06167595232,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,1,"eta",1.6,2.04572045,0.290055412542919,1.4863365,2.65523225,0.44572045,0.44572045,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta1",1,0.982821183,0.077175656329074,0.836625375,1.1361115,-0.017178817,0.017178817,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta2",2,1.95987788,0.112644668617176,1.73805,2.186822,-0.0401221199999999,0.0401221199999999,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta3",3,3.07855973,0.133045691633699,2.8127535,3.319913,0.0785597299999998,0.0785597299999998,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta4",-4,-4.20058955,0.157695774217648,-4.48520375,-3.88776925,-0.20058955,0.20058955,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta5",-5,-5.1392992,0.198820719265798,-5.512453,-4.7444775,-0.1392992,0.1392992,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta6",0,0.04098712447,0.0654641511444377,-0.0863784925,0.16620635,0.04098712447,0.04098712447,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta7",0,0.049356353205,0.0709681930098436,-0.08844703,0.184713225,0.049356353205,0.049356353205,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta8",0,0.125107495499,0.0640227359102375,-0.00773487125,0.243374,0.125107495499,0.125107495499,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta9",0,-0.019060689959,0.0866786363792477,-0.178477375,0.1501848,-0.019060689959,0.019060689959,TRUE
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,1,"beta10",0,0.04063401879232,0.0715418291068478,-0.103843775,0.1758342,0.04063401879232,0.04063401879232,TRUE
