"scope","metric","candidate","n_cells","median_ratio","median_abs_log_error","rmse_log_error","within_25pct","within_2x"
"parameter:eta","SEE","rmse_se_mean",11,0.98465,0.41205,0.53759,0.36364,0.63636
"parameter:eta","SEE","mean_abs_error_se_mean",11,0.85307,0.61148,0.63533,0.45455,0.54545
"parameter:eta","SEE","empirical_se_mean",11,0.54064,0.65432,0.70441,0.27273,0.54545
"parameter:eta","SEE","empirical_sd",11,7.64578,2.03415,2.23939,0,0
"parameter:eta","SEE","mean_abs_error",11,12.06427,2.49025,2.35884,0,0
"parameter:eta","SEE","rmse",11,13.92509,2.63369,2.55334,0,0
"parameter:eta","SEM","rms_posterior_sd_se_mean",11,0.65169,0.69049,0.62566,0.09091,0.54545
"parameter:eta","SEM","sqrt_mean_posterior_variance_over_n",11,0.65169,0.69049,0.62566,0.09091,0.54545
"parameter:eta","SEM","mean_posterior_sd_se_mean",11,0.64931,0.69731,0.62844,0.09091,0.45455
"parameter:eta","SEM","mean_posterior_variance",11,2.62711,0.96589,1.15323,0,0.09091
"parameter:eta","SEM","mean_posterior_sd",11,9.18258,2.21731,2.25837,0,0
"parameter:eta","SEM","rms_posterior_sd",11,9.21628,2.22097,2.26246,0,0
