"method","setting","sigma2","rho","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta14",0,0.027510628206,0.0733243031830886,-0.111669425,0.1691433,0.027510628206,0.027510628206,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta15",0,0.095454291606,0.0734275397627985,-0.040487185,0.24779505,0.095454291606,0.095454291606,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta16",0,-0.031616425742,0.0751470893625281,-0.18396685,0.1110024,-0.031616425742,0.031616425742,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta17",0,8.84714383000004e-05,0.0573509528909186,-0.11527,0.11525755,8.84714383000004e-05,8.84714383000004e-05,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta18",0,-0.006527603027,0.0698300461939912,-0.144894425,0.131272725,-0.006527603027,0.006527603027,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta19",0,-0.0423076747726,0.073341653133837,-0.180327025,0.1110894,-0.0423076747726,0.0423076747726,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta20",0,0.0162963902901,0.0774433867272155,-0.1371469,0.164947675,0.0162963902901,0.0162963902901,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"eta",1.6,1.611061036,0.273032780419415,1.1123665,2.18616175,0.0110610359999999,0.0110610359999999,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta1",1,1.025104271,0.0696813869080617,0.8928953,1.16373625,0.025104271,0.025104271,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta2",2,2.05772489,0.102900998137071,1.85506075,2.2653055,0.0577248899999998,0.0577248899999998,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta3",3,3.12400972,0.135418072156519,2.85751225,3.3681695,0.12400972,0.12400972,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta4",-4,-4.18203508,0.164808418326689,-4.4863335,-3.85311925,-0.18203508,0.18203508,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta5",-5,-5.11798158,0.198185487587244,-5.481257,-4.71687475,-0.11798158,0.11798158,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta6",0,0.0061391110973,0.0633488617716667,-0.120533575,0.1277081,0.0061391110973,0.0061391110973,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta7",0,0.0575560091326,0.0677604677749907,-0.06860104,0.18377465,0.0575560091326,0.0575560091326,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta8",0,-0.018731838697,0.0566607552708475,-0.134954275,0.0863921775,-0.018731838697,0.018731838697,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta9",0,0.01331746137329,0.086171145028326,-0.144004525,0.18017105,0.01331746137329,0.01331746137329,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta10",0,-0.152050709722,0.0725691601492924,-0.292006625,-0.02019088,-0.152050709722,0.152050709722,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta11",0,0.124435864171,0.0719525292152561,-0.0188394725,0.264460575,0.124435864171,0.124435864171,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta12",0,0.007019733033,0.0801712444250482,-0.1523972,0.15573655,0.007019733033,0.007019733033,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta13",0,0.0318169989608,0.0731272808828118,-0.1128148,0.1823483,0.0318169989608,0.0318169989608,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta14",0,-0.101557361076,0.0689509678608312,-0.2317536,0.0328487975,-0.101557361076,0.101557361076,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta15",0,-0.049354141994,0.0758010087978344,-0.189766525,0.10116315,-0.049354141994,0.049354141994,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta16",0,-0.0118957480683,0.0794266758916913,-0.160573325,0.142536075,-0.0118957480683,0.0118957480683,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta17",0,-0.0150264792412,0.0653896709962452,-0.14183375,0.11110315,-0.0150264792412,0.0150264792412,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta18",0,0.02967577412531,0.0698394894544642,-0.1073199,0.165581075,0.02967577412531,0.02967577412531,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta19",0,0.060798586093,0.0753136659686659,-0.08215519,0.2145177,0.060798586093,0.060798586093,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"beta20",0,0.121968415713,0.0803439386374021,-0.0425746375,0.268873525,0.121968415713,0.121968415713,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,2,"eta",1.6,1.644775735,0.29042362406148,1.10343,2.24899125,0.044775735,0.044775735,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta1",1,0.991068551,0.0724866855323988,0.8537549,1.13504425,-0.00893144899999998,0.00893144899999998,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta2",2,2.00472519,0.106087987971097,1.79536575,2.21818325,0.00472518999999982,0.00472518999999982,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta3",3,3.03546469,0.130386687482183,2.77422625,3.2707265,0.03546469,0.03546469,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta4",-4,-3.96796374,0.146729350993096,-4.237685,-3.67730225,0.0320362599999999,0.0320362599999999,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta5",-5,-5.03457567,0.191019561080185,-5.39032975,-4.65244225,-0.0345756699999997,0.0345756699999997,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta6",0,-0.02108262074682,0.05878675549443,-0.134829975,0.092757415,-0.02108262074682,0.02108262074682,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta7",0,0.0628983623,0.067108661280851,-0.06701833,0.187552075,0.0628983623,0.0628983623,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta8",0,0.0372799350303,0.0564169567645531,-0.0797525025,0.145270425,0.0372799350303,0.0372799350303,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta9",0,-0.114476934283,0.0840511522914241,-0.2669197,0.0472042875,-0.114476934283,0.114476934283,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta10",0,0.022065444991,0.0678002890038877,-0.116256475,0.148342675,0.022065444991,0.022065444991,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta11",0,0.073643351819,0.0712799962079523,-0.070273365,0.218708275,0.073643351819,0.073643351819,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta12",0,-0.011951978427,0.0797328065661454,-0.166961925,0.13599945,-0.011951978427,0.011951978427,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta13",0,-0.0186099523676,0.0648385667983017,-0.146433425,0.115647675,-0.0186099523676,0.0186099523676,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta14",0,-0.04393678623,0.0692659499063308,-0.171123425,0.0868584475,-0.04393678623,0.04393678623,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta15",0,-0.0088717606834,0.0725691787034117,-0.148042025,0.1376979,-0.0088717606834,0.0088717606834,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta16",0,-0.0092461212538,0.0757906419029001,-0.159974325,0.13557385,-0.0092461212538,0.0092461212538,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta17",0,-0.069327795421,0.0704575715843837,-0.205089875,0.0683775574999999,-0.069327795421,0.069327795421,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta18",0,-0.075023606923,0.0717054139871594,-0.213667725,0.062357265,-0.075023606923,0.075023606923,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta19",0,0.08083247286,0.0704444367754496,-0.0518174275,0.218011075,0.08083247286,0.08083247286,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"beta20",0,0.03222449497,0.0791523559535289,-0.12738585,0.181505775,0.03222449497,0.03222449497,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,3,"eta",1.6,1.783626405,0.294633673459041,1.22386925,2.418794,0.183626405,0.183626405,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta1",1,1.116213968,0.0811930643989465,0.9624082,1.27748775,0.116213968,0.116213968,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta2",2,2.17479471,0.115379344447093,1.948327,2.40541475,0.17479471,0.17479471,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta3",3,3.16447134,0.14163199680483,2.88002725,3.4203085,0.16447134,0.16447134,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta4",-4,-4.26240457,0.164942371747871,-4.56720475,-3.93195025,-0.26240457,0.26240457,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta5",-5,-5.38718693,0.208945591235546,-5.77396,-4.9638285,-0.38718693,0.38718693,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta6",0,-0.09592459098195,0.059194690267579,-0.208421425,0.01995221,-0.09592459098195,0.09592459098195,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta7",0,-0.051207927982,0.0718329891143739,-0.188856125,0.0835203675,-0.051207927982,0.051207927982,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta8",0,-0.0568018611024,0.0569378179890921,-0.171937675,0.053406385,-0.0568018611024,0.0568018611024,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta9",0,-0.0848376730095,0.0863192359289694,-0.240966325,0.0848531499999999,-0.0848376730095,0.0848376730095,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta10",0,0.009455523315,0.0702431471904295,-0.131271575,0.143890775,0.009455523315,0.009455523315,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta11",0,0.02040633191198,0.0769013103270855,-0.1311101,0.177853625,0.02040633191198,0.02040633191198,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta12",0,0.0515651496367,0.087743080695118,-0.1166403,0.216408925,0.0515651496367,0.0515651496367,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta13",0,0.064349463684,0.0680276465172589,-0.068981255,0.199767225,0.064349463684,0.064349463684,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta14",0,0.0319945796236,0.0722725200342241,-0.104016725,0.175987675,0.0319945796236,0.0319945796236,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta15",0,-0.047369435302,0.0781600949271748,-0.200062975,0.115613725,-0.047369435302,0.047369435302,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta16",0,-0.092690886739,0.0792064683558543,-0.251206725,0.0598085449999999,-0.092690886739,0.092690886739,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta17",0,-0.0413383911895,0.0696514846952697,-0.17697305,0.0963542825,-0.0413383911895,0.0413383911895,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta18",0,-0.0099017360876,0.0742680004444754,-0.158566875,0.1367007,-0.0099017360876,0.0099017360876,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta19",0,0.00207055706,0.0755390193168203,-0.139116225,0.152836425,0.00207055706,0.00207055706,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"beta20",0,-0.0084745280068,0.0864337106829344,-0.1777068,0.157486725,-0.0084745280068,0.0084745280068,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,4,"eta",1.6,2.14703117,0.312397397036541,1.529639,2.80900775,0.54703117,0.54703117,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta1",1,1.152878399,0.0781704354531606,1.00479775,1.30814325,0.152878399,0.152878399,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta2",2,2.07494202,0.111647387509324,1.8552355,2.2989775,0.0749420199999999,0.0749420199999999,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta3",3,3.17233228,0.136471224852767,2.89872275,3.41987775,0.17233228,0.17233228,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta4",-4,-4.31347235,0.16771580955877,-4.62270325,-3.97851625,-0.31347235,0.31347235,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta5",-5,-5.3468997,0.204623364277196,-5.71917025,-4.9347835,-0.3468997,0.3468997,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta6",0,-0.0257015074693,0.061093395465954,-0.145007325,0.0941103725,-0.0257015074693,0.0257015074693,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta7",0,-0.0458714666293,0.067674709866029,-0.17423715,0.0791839925,-0.0458714666293,0.0458714666293,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta8",0,-0.0068765763199,0.0577231304687536,-0.1249093,0.104092075,-0.0068765763199,0.0068765763199,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta9",0,-0.0348482969339,0.0868158488989595,-0.192928,0.138643775,-0.0348482969339,0.0348482969339,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta10",0,0.0288391468289,0.0699471944371959,-0.106521975,0.164424325,0.0288391468289,0.0288391468289,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta11",0,0.0334081325486,0.0790394107480303,-0.1177728,0.192941825,0.0334081325486,0.0334081325486,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta12",0,-0.00840077787603,0.0833445458943197,-0.1768582,0.14483055,-0.00840077787603,0.00840077787603,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta13",0,0.01982384487,0.0702432197780846,-0.117409975,0.158026975,0.01982384487,0.01982384487,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta14",0,-0.028098217319,0.0686982655676619,-0.15801855,0.106601575,-0.028098217319,0.028098217319,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta15",0,0.0509160459733,0.0771880202588676,-0.093654525,0.204955,0.0509160459733,0.0509160459733,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta16",0,-0.0844095306034,0.0810536422838107,-0.249024825,0.0702906925,-0.0844095306034,0.0844095306034,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta17",0,-0.116358189365,0.0688059521799038,-0.248931875,0.0198096325,-0.116358189365,0.116358189365,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta18",0,-0.102876626029,0.074111701409657,-0.251749875,0.040871415,-0.102876626029,0.102876626029,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta19",0,0.024840354099,0.0643843051882321,-0.100468225,0.157547675,0.024840354099,0.024840354099,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"beta20",0,-0.0155053140605,0.0773311808005748,-0.175794,0.131107275,-0.0155053140605,0.0155053140605,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,5,"eta",1.6,1.77450692,0.242251245683379,1.313562,2.283307,0.17450692,0.17450692,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta1",1,0.992024198,0.0759982226067043,0.848059,1.14297975,-0.00797580200000003,0.00797580200000003,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta2",2,2.17369025,0.11610809589848,1.944902,2.4069725,0.17369025,0.17369025,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta3",3,3.30403319,0.145498661973779,3.011767,3.56678275,0.30403319,0.30403319,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta4",-4,-4.38790652,0.169888917587371,-4.69868575,-4.05153625,-0.38790652,0.38790652,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta5",-5,-5.46069743,0.214894118082561,-5.855418,-5.026662,-0.46069743,0.46069743,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta6",0,0.107339866399,0.0628092111304524,-0.01228512,0.227533625,0.107339866399,0.107339866399,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta7",0,-0.02270720610489,0.0684105350337494,-0.154764025,0.10647645,-0.02270720610489,0.02270720610489,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta8",0,0.090536016693,0.0729720939504388,-0.0531617375,0.2275284,0.090536016693,0.090536016693,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta9",0,0.020424855504,0.0875101524762192,-0.143185225,0.19209415,0.020424855504,0.020424855504,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta10",0,0.13718515770717,0.0703792105374204,-0.0048111565,0.270685675,0.13718515770717,0.13718515770717,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta11",0,-0.0195199869037,0.0775903657805983,-0.17368055,0.13676535,-0.0195199869037,0.0195199869037,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta12",0,-0.0751813801393,0.0823141589615045,-0.2334664,0.0805965575,-0.0751813801393,0.0751813801393,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta13",0,0.0277820381314,0.0681927744822386,-0.103225,0.16413135,0.0277820381314,0.0277820381314,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta14",0,-0.0059927999429,0.0706599505541201,-0.135947475,0.137857675,-0.0059927999429,0.0059927999429,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta15",0,-0.0507789442489,0.0773167002774453,-0.198871475,0.1085935,-0.0507789442489,0.0507789442489,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta16",0,0.0667383768064,0.0821392062973197,-0.09793977,0.223857925,0.0667383768064,0.0667383768064,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta17",0,0.02646474032895,0.0670972458454673,-0.103129125,0.159385625,0.02646474032895,0.02646474032895,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta18",0,-0.0291033010119,0.0698213912294768,-0.165023525,0.109809325,-0.0291033010119,0.0291033010119,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta19",0,-0.010925342199,0.0725121509582573,-0.1483213,0.13485265,-0.010925342199,0.010925342199,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"beta20",0,-0.020708047978,0.0753822922704325,-0.1715369,0.124710425,-0.020708047978,0.020708047978,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,6,"eta",1.6,2.24816442,0.304240340752841,1.653698,2.8904105,0.64816442,0.64816442,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta1",1,0.886398787,0.0714025225612494,0.751139475,1.0282225,-0.113601213,0.113601213,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta2",2,2.02242156,0.111000388726634,1.80527725,2.24662875,0.0224215600000002,0.0224215600000002,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta3",3,2.98450398,0.130853935425634,2.7228525,3.22040775,-0.0154960200000001,0.0154960200000001,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta4",-4,-4.15214379,0.160393682203591,-4.44463775,-3.8385135,-0.15214379,0.15214379,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta5",-5,-5.19612798,0.200244113346309,-5.5697475,-4.7934105,-0.19612798,0.19612798,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta6",0,0.019590342445,0.0604545718371447,-0.0936854825,0.1350674,0.019590342445,0.019590342445,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta7",0,-0.044001125059,0.0677127414001454,-0.176958325,0.080935225,-0.044001125059,0.044001125059,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta8",0,-0.0128397462458,0.0567651912670057,-0.1278519,0.0939752525,-0.0128397462458,0.0128397462458,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta9",0,-0.002772050842,0.0849660943861529,-0.15719395,0.1598439,-0.002772050842,0.002772050842,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta10",0,-0.141451084841,0.0660018647403892,-0.272178525,-0.0185500525,-0.141451084841,0.141451084841,FALSE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta11",0,0.11056930656,0.0747901989633826,-0.0400157625,0.26159315,0.11056930656,0.11056930656,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta12",0,0.05233112573,0.0839581780143626,-0.1145853,0.206790375,0.05233112573,0.05233112573,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta13",0,-0.052877705642,0.0704031616104876,-0.1902585,0.08670531,-0.052877705642,0.052877705642,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta14",0,0.0244401798304,0.0719749501663715,-0.109600925,0.163196125,0.0244401798304,0.0244401798304,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta15",0,-0.0042237854506,0.077845796372795,-0.15325445,0.15555035,-0.0042237854506,0.0042237854506,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta16",0,-0.035404563248,0.0759825064752275,-0.18309565,0.10888655,-0.035404563248,0.035404563248,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,7,"beta17",0,0.003436364483,0.0715298391368597,-0.133842525,0.147345675,0.003436364483,0.003436364483,TRUE
