"setting","kind","rep","missing"
"10 Missing Spots","ignorable",85,10
"10 Missing Spots","ignorable",86,10
"10 Missing Spots","ignorable",87,10
"10 Missing Spots","ignorable",88,10
"10 Missing Spots","ignorable",89,10
"10 Missing Spots","ignorable",90,10
"10 Missing Spots","ignorable",91,10
"10 Missing Spots","ignorable",92,10
"10 Missing Spots","ignorable",93,10
"10 Missing Spots","ignorable",94,10
"10 Missing Spots","ignorable",95,10
"10 Missing Spots","ignorable",96,10
"10 Missing Spots","ignorable",97,10
"10 Missing Spots","ignorable",98,10
"10 Missing Spots","ignorable",99,10
"10 Missing Spots","ignorable",100,10
"10 Missing Spots","ignorable",101,10
"10 Missing Spots","ignorable",102,10
"10 Missing Spots","ignorable",103,10
"10 Missing Spots","ignorable",104,10
"10 Missing Spots","ignorable",105,10
"10 Missing Spots","ignorable",106,10
"10 Missing Spots","ignorable",107,10
"10 Missing Spots","ignorable",108,10
"10 Missing Spots","ignorable",109,10
"10 Missing Spots","ignorable",110,10
"10 Missing Spots","ignorable",111,10
"10 Missing Spots","ignorable",112,10
"10 Missing Spots","ignorable",113,10
"10 Missing Spots","ignorable",114,10
"10 Missing Spots","ignorable",115,10
"10 Missing Spots","ignorable",116,10
"10 Missing Spots","ignorable",117,10
"10 Missing Spots","ignorable",118,10
"10 Missing Spots","ignorable",119,10
"10 Missing Spots","ignorable",120,10
"10 Missing Spots","ignorable",121,10
"10 Missing Spots","ignorable",122,10
"10 Missing Spots","ignorable",123,10
"10 Missing Spots","ignorable",124,10
"10 Missing Spots","ignorable",125,10
"10 Missing Spots","ignorable",126,10
"10 Missing Spots","ignorable",127,10
"10 Missing Spots","ignorable",128,10
"10 Missing Spots","ignorable",129,10
"10 Missing Spots","ignorable",130,10
"10 Missing Spots","ignorable",131,10
"10 Missing Spots","ignorable",132,10
"10 Missing Spots","ignorable",133,10
"10 Missing Spots","ignorable",134,10
"10 Missing Spots","ignorable",135,10
"10 Missing Spots","ignorable",136,10
"10 Missing Spots","ignorable",137,10
"10 Missing Spots","ignorable",138,10
"10 Missing Spots","ignorable",139,10
"10 Missing Spots","ignorable",140,10
"10 Missing Spots","ignorable",141,10
"10 Missing Spots","ignorable",142,10
"10 Missing Spots","ignorable",143,10
"10 Missing Spots","ignorable",144,10
"10 Missing Spots","ignorable",145,10
"10 Missing Spots","ignorable",146,10
"10 Missing Spots","ignorable",147,10
"10 Missing Spots","ignorable",148,10
"10 Missing Spots","ignorable",149,10
"10 Missing Spots","ignorable",150,10
"10 Missing Spots","ignorable",151,10
"10 Missing Spots","ignorable",152,10
"10 Missing Spots","ignorable",153,10
"10 Missing Spots","ignorable",154,10
"10 Missing Spots","ignorable",155,10
"10 Missing Spots","ignorable",156,10
"10 Missing Spots","ignorable",157,10
"10 Missing Spots","ignorable",158,10
"10 Missing Spots","ignorable",159,10
"10 Missing Spots","ignorable",160,10
"10 Missing Spots","ignorable",161,10
"10 Missing Spots","ignorable",162,10
"10 Missing Spots","ignorable",163,10
"10 Missing Spots","ignorable",164,10
"10 Missing Spots","ignorable",165,10
"10 Missing Spots","ignorable",166,10
"10 Missing Spots","ignorable",167,10
"10 Missing Spots","ignorable",168,10
"10 Missing Spots","ignorable",169,10
"10 Missing Spots","ignorable",170,10
"10 Missing Spots","ignorable",171,10
"10 Missing Spots","ignorable",172,10
"10 Missing Spots","ignorable",173,10
"10 Missing Spots","ignorable",174,10
"10 Missing Spots","ignorable",175,10
"10 Missing Spots","ignorable",176,10
"10 Missing Spots","ignorable",177,10
"10 Missing Spots","ignorable",178,10
"10 Missing Spots","ignorable",179,10
