"algorithm","neighbor_scale","x_mode","n","eta_bias","empirical_sd","mean_posterior_sd","mean_stan_mcse","mean_draw_mcse","coverage","mean_seconds"
"fullrank","average","fixed",10,0.60097742249,1.44414454450485,0.448129222458604,NA,0.0141710902904947,0.8,0.2308
"fullrank","average","regenerated",10,0.41137236521,0.771114537301796,0.388356422432271,NA,0.0122809083884048,0.9,0.233200000000001
"fullrank","sum","fixed",10,0.4732792172,1.30485506499166,0.288286485963187,NA,0.0091164191428983,0.9,0.2321
"fullrank","sum","regenerated",10,0.0480354264,0.052936336959781,0.0871263462538978,NA,0.00275517698370796,1,0.2303
"meanfield","average","fixed",10,0.146724397347,0.186974741002988,0.258998326338249,NA,0.00819024621400443,1,2.171
"meanfield","average","regenerated",10,0.135837678916,0.162899626298091,0.257759047073955,NA,0.00815105676268258,1,0.2004
"meanfield","sum","fixed",10,0.1055834158,0.11523803726913,0.0716696733189018,NA,0.00226639406847929,0.8,0.1998
"meanfield","sum","regenerated",10,0.0969246942,0.111252623295166,0.0712933003759634,NA,0.00225449211098583,0.7,0.199400000000001
