"dataset","disease_rate","eta_true","eta_PL","eta_PL_se","CV_PL","eta_MCMLE","eta_MCMLE_se","CV_MCMLE","SE_ratio_PL_over_MCMLE","secs"
1,0.569,0.78,0.68,0.0844,0.124,0.6585,0.0805,0.122,1.05,2.9
2,0.599,0.78,0.7422,0.09,0.121,0.7228,0.0868,0.12,1.04,2.8
