"method","setting","kind","rep","missing","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta16",0,0.4926223276,0.17373413848925,0.158980575,0.843624325,0.4926223276,0.4926223276,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta17",0,0.21945283736,0.203943782592197,-0.152299525,0.62751805,0.21945283736,0.21945283736,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta18",0,0.0800536580893,0.194349135231362,-0.303061025,0.473670275,0.0800536580893,0.0800536580893,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta19",0,-0.29442880657,0.178706772658856,-0.65080255,0.0435343099999999,-0.29442880657,0.29442880657,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta20",0,0.2746777733,0.170696770139124,-0.0559447825,0.6159895,0.2746777733,0.2746777733,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"eta",1.6,2.64084221,0.392816855475629,1.9347705,3.46376275,1.04084221,1.04084221,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta1",1,1.010806923,0.183779488043553,0.672349775,1.3973025,0.0108069230000001,0.0108069230000001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta2",2,2.23825889,0.242262219884676,1.7531785,2.7280915,0.23825889,0.23825889,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta3",3,3.50597738,0.325480564123202,2.86467425,4.1423155,0.50597738,0.50597738,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta4",-4,-4.26729442,0.380129501747184,-5.0118985,-3.50079525,-0.26729442,0.26729442,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta5",-5,-5.50783977,0.46769372291822,-6.4036425,-4.59038925,-0.50783977,0.50783977,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta6",0,-0.028886112401,0.166938025430409,-0.37400275,0.274399775,-0.028886112401,0.028886112401,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta7",0,0.42238931284,0.180025122868613,0.06401241,0.76925835,0.42238931284,0.42238931284,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta8",0,-0.065824688393,0.160211903066904,-0.37266655,0.2571845,-0.065824688393,0.065824688393,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta9",0,-0.33695767998,0.173570792697304,-0.67590025,0.00682960374999996,-0.33695767998,0.33695767998,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta10",0,-0.0518354195192,0.157368394952491,-0.359277,0.2535419,-0.0518354195192,0.0518354195192,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",3,10,"beta11",0,-0.1479552536765,0.165675586906696,-0.4709817,0.162624275,-0.1479552536765,0.1479552536765,TRUE
