"dataset","disease_rate","eta_true","eta_PL","eta_PL_se","CV_PL","eta_MCMLE","eta_MCMLE_se","CV_MCMLE","SE_ratio_PL_over_MCMLE","secs"
1,0.699,1.6,1.7286,0.1727,0.1,1.7453,0.1734,0.099,1,3
2,0.721,1.6,1.7257,0.1754,0.102,1.771,0.178,0.101,0.99,2.9
