"eta_true","xsd","lp_sd","disease_rate","eta_mean","eta_signed","eta_absBias","eta_empSD","eta_meanSE","beta_infl","n"
0.4,1,7.42,0.511,0.462,0.062,0.244,0.293,0.28,1.085,50
0.4,0.5,3.71,0.525,0.504,0.104,0.219,0.252,0.197,1.07,50
0.4,0.25,1.85,0.533,0.409,0.009,0.121,0.154,0.147,1.024,50
0.4,0.1,0.74,0.551,0.433,0.033,0.101,0.122,0.121,1.031,50
0.4,0.05,0.37,0.552,0.397,-0.003,0.104,0.132,0.116,1.078,50
0.4,0.01,0.07,0.556,0.402,0.002,0.106,0.133,0.113,0.987,50
