"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Naive Method (ADVI)",0.4,1,"beta1",1,1.335456434,0.190348098218067,0.959624,1.70307325,0.335456434,0.335456434,TRUE
"Naive Method (ADVI)",0.4,1,"beta2",2,2.27274652,0.250988528216303,1.77773675,2.766325,0.27274652,0.27274652,TRUE
"Naive Method (ADVI)",0.4,1,"beta3",3,3.31495401,0.286562253897786,2.7477355,3.86467375,0.31495401,0.31495401,TRUE
"Naive Method (ADVI)",0.4,1,"beta4",-4,-4.84537076,0.429481588382997,-5.6828545,-4.05183575,-0.84537076,0.84537076,FALSE
"Naive Method (ADVI)",0.4,1,"beta5",-5,-6.01017791,0.493677197808414,-6.978284,-5.075409,-1.01017791,1.01017791,FALSE
"Naive Method (ADVI)",0.4,1,"beta6",0,-0.103752910267,0.181517225501298,-0.4646248,0.248486275,-0.103752910267,0.103752910267,TRUE
"Naive Method (ADVI)",0.4,1,"beta7",0,-0.135740142159,0.173186700254999,-0.45861655,0.205507125,-0.135740142159,0.135740142159,TRUE
"Naive Method (ADVI)",0.4,1,"beta8",0,-0.21102378641,0.172461161767538,-0.55656475,0.131856075,-0.21102378641,0.21102378641,TRUE
"Naive Method (ADVI)",0.4,1,"beta9",0,-0.054015225599,0.185291912561977,-0.425000225,0.284721575,-0.054015225599,0.054015225599,TRUE
"Naive Method (ADVI)",0.4,1,"beta10",0,-0.3233005595431,0.156181186192693,-0.642779425,-0.03060005,-0.3233005595431,0.3233005595431,FALSE
"Naive Method (ADVI)",0.4,1,"beta11",0,0.006343471306,0.147222103852866,-0.26970875,0.280139775,0.006343471306,0.006343471306,TRUE
"Naive Method (ADVI)",0.4,1,"beta12",0,-0.0518209277072,0.16694084437426,-0.390833,0.268892175,-0.0518209277072,0.0518209277072,TRUE
"Naive Method (ADVI)",0.4,1,"beta13",0,0.216573118975,0.169338673609945,-0.104542425,0.554925375,0.216573118975,0.216573118975,TRUE
"Naive Method (ADVI)",0.4,1,"beta14",0,0.299568978272,0.159126137286911,-0.00843330799999998,0.59428405,0.299568978272,0.299568978272,TRUE
"Naive Method (ADVI)",0.4,1,"beta15",0,-0.2972579472818,0.159252007154581,-0.612758675,-0.00499822950000003,-0.2972579472818,0.2972579472818,FALSE
"Naive Method (ADVI)",0.4,1,"beta16",0,-0.155585897067,0.164224918423904,-0.48877505,0.14769795,-0.155585897067,0.155585897067,TRUE
"Naive Method (ADVI)",0.4,1,"beta17",0,-0.039251633204,0.166816410828416,-0.37319925,0.291725225,-0.039251633204,0.039251633204,TRUE
"Naive Method (ADVI)",0.4,1,"beta18",0,0.20414806168,0.151178492739145,-0.077264085,0.5007871,0.20414806168,0.20414806168,TRUE
"Naive Method (ADVI)",0.4,1,"beta19",0,-0.207261258752,0.167046526768912,-0.518204675,0.10295535,-0.207261258752,0.207261258752,TRUE
"Naive Method (ADVI)",0.4,1,"beta20",0,-0.210230652214,0.184216779469628,-0.556055425,0.165593925,-0.210230652214,0.210230652214,TRUE
"Proposed Method (ADVI)",0.4,1,"beta1",1,1.423079996,0.181383186177208,1.08901675,1.804712,0.423079996,0.423079996,FALSE
"Proposed Method (ADVI)",0.4,1,"beta2",2,2.33976138,0.236929970267813,1.86272575,2.8051995,0.33976138,0.33976138,TRUE
"Proposed Method (ADVI)",0.4,1,"beta3",3,3.33002032,0.30532823856952,2.7319705,3.960335,0.33002032,0.33002032,TRUE
"Proposed Method (ADVI)",0.4,1,"beta4",-4,-4.97941015,0.436018959534274,-5.850204,-4.108616,-0.97941015,0.97941015,FALSE
"Proposed Method (ADVI)",0.4,1,"beta5",-5,-6.12756636,0.53390844694092,-7.1356635,-5.09833025,-1.12756636,1.12756636,FALSE
"Proposed Method (ADVI)",0.4,1,"beta6",0,-0.07157231205,0.174766955539574,-0.419835575,0.266389825,-0.07157231205,0.07157231205,TRUE
"Proposed Method (ADVI)",0.4,1,"beta7",0,-0.107887426642,0.178259391061975,-0.475170525,0.239134825,-0.107887426642,0.107887426642,TRUE
"Proposed Method (ADVI)",0.4,1,"beta8",0,-0.210419575747,0.165301192081346,-0.53757875,0.1280539,-0.210419575747,0.210419575747,TRUE
"Proposed Method (ADVI)",0.4,1,"beta9",0,-0.0736624366431,0.170880975812825,-0.42079555,0.245089199999999,-0.0736624366431,0.0736624366431,TRUE
"Proposed Method (ADVI)",0.4,1,"beta10",0,-0.36709931782,0.148281336179953,-0.667163575,-0.0779141450000001,-0.36709931782,0.36709931782,FALSE
"Proposed Method (ADVI)",0.4,1,"beta11",0,0.0013745516001,0.15961058523026,-0.295247,0.3188733,0.0013745516001,0.0013745516001,TRUE
"Proposed Method (ADVI)",0.4,1,"beta12",0,-0.029499738799,0.162522315410313,-0.347718675,0.30524185,-0.029499738799,0.029499738799,TRUE
"Proposed Method (ADVI)",0.4,1,"beta13",0,0.209227342605,0.170429419920317,-0.110747825,0.553506575,0.209227342605,0.209227342605,TRUE
"Proposed Method (ADVI)",0.4,1,"beta14",0,0.288642292912,0.160155674237779,-0.0152448775,0.59709115,0.288642292912,0.288642292912,TRUE
"Proposed Method (ADVI)",0.4,1,"beta15",0,-0.297528793682,0.16214778695552,-0.6227609,0.0253397074999999,-0.297528793682,0.297528793682,TRUE
"Proposed Method (ADVI)",0.4,1,"beta16",0,-0.134840765631,0.139802496142727,-0.40569575,0.14836,-0.134840765631,0.134840765631,TRUE
